Method,Acc,Recall,F1
Our Proposed,74.70 ± 0.70,71.85 ± 1.82,72.80 ± 1.22
Ablate L1,74.70 ± 0.70,71.91 ± 1.87,72.77 ± 1.12
Ablate L2,75.23 ± 1.52,72.37 ± 2.66,73.28 ± 2.56
Ablate L3,74.47 ± 0.62,71.67 ± 1.89,72.56 ± 1.24
Ablate L4,74.29 ± 0.84,71.56 ± 1.71,72.42 ± 1.06
Ablate L5,73.85 ± 1.38,71.02 ± 1.12,71.86 ± 0.98
