condition,target_raw_label,drop_accuracy_mean,drop_accuracy_sd,drop_recall_mean,drop_recall_sd,drop_f1_mean,drop_f1_sd,drop_c0_mean,drop_c0_sd,drop_c1_mean,drop_c1_sd,drop_c2_mean,drop_c2_sd,drop_c3_mean,drop_c3_sd,drop_c4_mean,drop_c4_sd,drop_true_probability_mean,drop_true_probability_sd,drop_logit_margin_mean,drop_logit_margin_sd
Ablate L1,1,0.0,0.0,-0.061013591479536444,0.05415635442665581,0.039212068176046465,0.2220152982717073,0.0,0.0,-1.2583095916429272,1.0903098293642024,0.0,0.0,1.0752688172043037,0.9312101115961728,0.0,0.0,-0.33905307451883954,0.2809622390687669,-0.059677521387736,0.034340874812164475
Ablate L2,2,-0.5229795416757762,1.479481352354384,-0.5199255529381949,1.1600494206109264,-0.47630988720975626,1.5483211660026572,0.0,0.0,-1.0221422502124256,2.8834627697425517,0.0,0.0,0.3395585738539874,2.592893156168299,0.8771929824561487,1.6880267892917389,-0.6671796242396036,1.6026274030953769,-0.06110151608784994,0.1753333250526178
Ablate L3,3,0.2314814814814857,0.4009376869372474,0.17921146953405298,0.31040337053206174,0.2420686657974803,0.41927522808164636,0.0,0.0,0.0,0.0,0.0,0.0,0.5376344086021542,0.9312101115961771,0.0,0.0,0.24109979470570883,0.3896739148512788,0.04152631759643555,0.04065144511949269
Ablate L4,4,0.4082162310901036,0.3848970120944821,0.29239766081872176,0.2759442410552225,0.3863560835775293,0.40879435089709815,0.0,0.0,0.8771929824561416,0.8278327231656514,0.0,0.0,0.8771929824561369,0.8278327231656505,0.8771929824561369,0.8278327231656505,0.41216015815734863,0.36911476365839535,0.0742655595143636,0.055153359142408105
Ablate L5,5,0.847926026984851,0.6898797229320925,0.8354218880534697,0.8840657482580038,0.947564908487801,1.078744746115951,0.0,0.0,1.31578947368421,0.6578947368421098,0.0,0.0,1.3157894736842148,0.6578947368421026,2.5062656641604044,2.6521972447740385,0.5444844563802084,0.5878943687737817,0.07050478458404541,0.12764942546500083
