Method,Hole Exploration,Wrong Hole Exploration,Hesitating,Changing Direction,Walking
Our Proposed,81.59 ± 2.83,82.41 ± 0.40,72.80 ± 11.06,75.88 ± 5.37,65.16 ± 5.93
Ablate L1,81.59 ± 2.83,83.66 ± 0.69,72.80 ± 11.06,74.80 ± 6.23,65.16 ± 5.93
Ablate L2,81.59 ± 2.83,83.43 ± 2.48,72.80 ± 11.06,75.54 ± 5.27,64.29 ± 6.88
Ablate L3,81.59 ± 2.83,82.41 ± 0.40,72.80 ± 11.06,75.34 ± 5.53,65.16 ± 5.93
Ablate L4,81.59 ± 2.83,81.53 ± 1.20,72.80 ± 11.06,75.00 ± 5.95,64.29 ± 5.35
Ablate L5,81.59 ± 2.83,81.09 ± 0.78,72.80 ± 11.06,74.56 ± 5.68,62.66 ± 4.60
