accuracy,precision,recall,f1,L1,L2,L3,L4,L5,condition,fold
75.08919469928645,75.68296655990926,71.51914625100633,72.97326459669864,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,Full,fold01
73.89613756156571,74.83567408139491,73.81457409588191,73.93354624417805,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,Full,fold02
75.12313142659639,75.18287857784318,70.22327737513481,71.50789354715904,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,Full,fold03
39.239296636085626,13.079765545361875,33.33333333333333,18.779990797344375,100.0,50.0,0.0,0.0,0.0,Zero Conv signal,fold01
30.411302168841267,10.137100722947089,33.33333333333333,15.200341005967603,100.0,0.0,0.0,0.0,50.0,Zero Conv signal,fold02
45.14386935107578,15.047956450358592,33.33333333333333,20.730440014220473,0.0,50.0,0.0,100.0,50.0,Zero Conv signal,fold03
39.239296636085626,13.079765545361875,33.33333333333333,18.779990797344375,100.0,50.0,0.0,0.0,0.0,Zero LSTM signal,fold01
45.14386935107578,15.047956450358592,33.33333333333333,20.730440014220473,0.0,50.0,0.0,100.0,50.0,Zero LSTM signal,fold02
33.17203836516028,11.057346121720094,33.33333333333333,16.08991713840348,0.0,50.0,0.0,50.0,100.0,Zero LSTM signal,fold03
50.9683995922528,52.892398223934094,41.2760242093984,35.60378062822366,55.223880597014926,85.3192007797271,2.4390243902439024,46.848471986417664,37.17105263157895,Uniform Attention,fold01
52.98755724531236,65.81160441625558,46.76291078145347,44.57763404616042,5.970149253731343,83.62854251012146,35.0,78.04541595925298,56.15601503759399,Uniform Attention,fold02
30.899507474293614,38.60384195482699,39.76574744423742,28.121806883210205,6.7164179104477615,34.66599190283401,92.5,33.42529711375212,55.545112781954884,Uniform Attention,fold03
