run,representation,metric,n_units,n_finite,mean,sd,ci95_low,ci95_high
run1,Neural,decision_rsa,19,18,-0.002373723628411336,0.21150433127305113,-0.09725598000157114,0.08998627288181993
run1,Conv,decision_rsa,19,18,-0.010344762928234712,0.2107378547489135,-0.10687122562748594,0.08022777584956134
run1,LSTM,decision_rsa,19,18,0.03618793823545771,0.1885852630476019,-0.04304233424912092,0.12377529956130928
run1,Attention contribution,decision_rsa,19,18,0.004347330282959871,0.253537471474288,-0.1038846030683255,0.12568529009987248
run1,Context,decision_rsa,19,18,0.34158187086665914,0.2868989146567858,0.20676790544763748,0.46572296661906804
run2,Neural,decision_rsa,9,9,0.020867001499296614,0.27224865474836957,-0.13837783809890786,0.1935093220305332
run2,Conv,decision_rsa,9,9,0.05956525525248816,0.26161347353919895,-0.09523993468947169,0.22314979023327675
run2,LSTM,decision_rsa,9,9,0.10792058609287336,0.39468406248944143,-0.11993160928665551,0.3607214036447771
run2,Attention contribution,decision_rsa,9,9,0.057647521286517255,0.1767386958276074,-0.043246673626204706,0.17292391975819754
run2,Context,decision_rsa,9,9,0.22502068896111535,0.26609241638927905,0.0643007297154536,0.39374945959348767
