accuracy,precision,recall,f1,run,fold,condition,context_across_window_sd
80.73394495412845,83.09921420654787,76.63048684689517,79.0877721312504,run1,fold01,Full,0.1560639590024948
40.97859327217125,13.65953109072375,33.33333333333333,19.37816341287057,run1,fold01,Zero Conv signal,8.278469181277615e-07
40.97859327217125,13.65953109072375,33.33333333333333,19.37816341287057,run1,fold01,Zero LSTM signal,0.0
57.49235474006116,71.80630182421227,44.00167008347224,41.97580826476011,run1,fold01,Uniform Attention,0.03636276721954346
81.59509202453987,81.99458048602214,82.30361351139041,82.11529042328695,run1,fold02,Full,0.2082783281803131
41.104294478527606,13.701431492842536,33.33333333333333,19.42028985507246,run1,fold02,Zero Conv signal,1.7806848973123124e-06
46.62576687116564,15.541922290388547,33.33333333333333,21.199442119944212,run1,fold02,Zero LSTM signal,0.0
52.45398773006135,74.07631128561361,46.332155014401685,42.8899996898779,run1,fold02,Uniform Attention,0.06239095330238342
84.04907975460122,86.58043853165806,80.55053678973553,82.96722819707497,run1,fold03,Full,0.14241832494735718
46.62576687116564,15.541922290388547,33.33333333333333,21.199442119944212,run1,fold03,Zero Conv signal,5.065473374088469e-07
46.62576687116564,15.541922290388547,33.33333333333333,21.199442119944212,run1,fold03,Zero LSTM signal,0.0
39.263803680981596,50.26539278131634,51.05459544383346,34.32221751896512,run1,fold03,Uniform Attention,0.03642793744802475
69.44444444444444,68.26671891327064,66.40780565511749,66.85875706214689,run2,fold01,Full,0.3045254051685333
37.5,12.5,33.33333333333333,18.18181818181818,run2,fold01,Zero Conv signal,1.614313660525113e-08
37.5,12.5,33.33333333333333,18.18181818181818,run2,fold01,Zero LSTM signal,0.0
44.44444444444444,33.97849462365591,38.55037833532457,29.231752991687216,run2,fold01,Uniform Attention,0.09316102415323257
66.19718309859155,67.67676767676768,65.3255346803734,65.75180206506916,run2,fold02,Full,0.33107948303222656
19.718309859154928,6.572769953051642,33.33333333333333,10.980392156862745,run2,fold02,Zero Conv signal,8.609011956650647e-07
43.66197183098591,14.553990610328638,33.33333333333333,20.261437908496735,run2,fold02,Zero LSTM signal,0.0
53.52112676056338,57.54689754689753,47.193666548505256,46.26526840244294,run2,fold02,Uniform Attention,0.10511661320924759
66.19718309859155,63.78531862402831,59.89601796053409,60.04855889724311,run2,fold03,Full,0.35033223032951355
43.66197183098591,14.553990610328638,33.33333333333333,20.261437908496735,run2,fold03,Zero Conv signal,1.1028946573787834e-06
19.718309859154928,6.572769953051642,33.33333333333333,10.980392156862745,run2,fold03,Zero LSTM signal,0.0
22.535211267605636,26.942291128337644,28.47689944464138,21.921396247455295,run2,fold03,Uniform Attention,0.13739432394504547
