run,condition,metric,n_units,n_finite,mean,sd,ci95_low,ci95_high
run1,Full,context_linear_cka,19,19,0.36803657989543925,0.17965245970705904,0.2940431955889393,0.451435490994777
run1,Zero Conv signal,context_linear_cka,19,1,0.3706844115789464,,0.3706844115789464,0.3706844115789464
run1,Zero LSTM signal,context_linear_cka,19,0,,,,
run1,Uniform Attention,context_linear_cka,19,19,0.5618156879488396,0.1381116949847747,0.502318688598658,0.6241857758957409
run2,Full,context_linear_cka,9,9,0.6173127160287906,0.15606591666357728,0.5263176385424502,0.7166533893984387
run2,Zero Conv signal,context_linear_cka,9,1,0.7050960176662626,,0.7050960176662626,0.7050960176662626
run2,Zero LSTM signal,context_linear_cka,9,0,,,,
run2,Uniform Attention,context_linear_cka,9,9,0.6123353312311713,0.12099469422580696,0.534508467569901,0.6822276193960558
