run,condition,metric,n_units,n_finite,mean,sd,ci95_low,ci95_high
run1,Full,context_neural_rsa,19,19,-0.006454295619638021,0.2937253549533696,-0.13358431288288214,0.12095685665363982
run1,Zero Conv signal,context_neural_rsa,19,1,0.06811590484042367,,0.06811590484042367,0.06811590484042367
run1,Zero LSTM signal,context_neural_rsa,19,0,,,,
run1,Uniform Attention,context_neural_rsa,19,19,0.43317837516066043,0.19889981685922098,0.34402149524695663,0.5188424935298884
run2,Full,context_neural_rsa,9,9,0.2074978860373804,0.266854051129273,0.04530848967773361,0.36240335805566837
run2,Zero Conv signal,context_neural_rsa,9,1,0.3850763914620373,,0.3850763914620373,0.3850763914620373
run2,Zero LSTM signal,context_neural_rsa,9,0,,,,
run2,Uniform Attention,context_neural_rsa,9,9,0.2336269975723813,0.3821625396102197,-0.001434442056479175,0.4578425374871712
