run,representation,metric,n_units,n_finite,mean,sd,ci95_low,ci95_high
run1,Conv,partial_decision_rsa_controlling_neural,19,18,-0.023897360129119263,0.13882080117983708,-0.090161065251997,0.03557618755484024
run1,LSTM,partial_decision_rsa_controlling_neural,19,18,0.09352941106800317,0.14809312638218072,0.027685921394675607,0.16313064538179375
run1,Attention contribution,partial_decision_rsa_controlling_neural,19,18,0.003704494702658448,0.23389852906760927,-0.09372580241676395,0.11669299935084997
run1,Context,partial_decision_rsa_controlling_neural,19,18,0.33107386356785934,0.2715987334137477,0.20579832727882383,0.4492599238590482
run2,Conv,partial_decision_rsa_controlling_neural,9,9,0.08179098374431638,0.18315977185458704,-0.028951871128370422,0.19000809164179924
run2,LSTM,partial_decision_rsa_controlling_neural,9,9,-0.024296617523771092,0.44778214875082706,-0.2858892201286465,0.2562573329165114
run2,Attention contribution,partial_decision_rsa_controlling_neural,9,9,0.08452615933992805,0.1514572530688621,-0.014720194674092867,0.17146551407112284
run2,Context,partial_decision_rsa_controlling_neural,9,9,0.21786593067170515,0.24513192180324853,0.07557087727903766,0.37712071838591604
