run,layer,metric,n_units,n_finite,mean,sd,ci95_low,ci95_high
run1,Conv,linear_cka,19,19,0.9969653730140772,0.004164766440083839,0.9949288129546874,0.9984487450518582
run1,LSTM,linear_cka,19,19,0.8740490978185399,0.051156972205700736,0.85178053081261,0.8964248788319694
run1,Attention contribution,linear_cka,19,19,0.571607487588205,0.14203842713859824,0.5089608428667289,0.6307692423749274
run1,Context,linear_cka,19,19,0.36803657989543925,0.17965245970705904,0.2940431955889393,0.451435490994777
run2,Conv,linear_cka,9,9,0.9989024787640319,0.0014263995654074226,0.9979501900349246,0.9995691606724016
run2,LSTM,linear_cka,9,9,0.9130866307434942,0.059411897327425786,0.8778119820527378,0.9487353208830016
run2,Attention contribution,linear_cka,9,9,0.7083481730438227,0.15128865303059286,0.6138953105593481,0.7975366173393142
run2,Context,linear_cka,9,9,0.6173127160287906,0.15606591666357728,0.5263176385424502,0.7166533893984387
