condition,target_raw_label,drop_accuracy_mean,drop_accuracy_sd,drop_recall_mean,drop_recall_sd,drop_f1_mean,drop_f1_sd,drop_c0_mean,drop_c0_sd,drop_c1_mean,drop_c1_sd,drop_c2_mean,drop_c2_sd,drop_c3_mean,drop_c3_sd,drop_c4_mean,drop_c4_sd,drop_true_probability_mean,drop_true_probability_sd,drop_logit_margin_mean,drop_logit_margin_sd
Ablate L1,1,1.5041795878657591,0.18300987498161428,1.564960136456089,0.16510984455789876,1.6755378477646587,0.17481949751796955,0.0,0.0,-0.3742440145948886,3.159007762474915,0.0,0.0,2.9074702886247885,1.7045440897245392,2.600250626566416,1.682129543691575,0.983881950378418,0.36874064613838636,0.07989660898844402,0.024671976632842242
Ablate L2,2,1.4060508484912237,2.8356121720038163,0.9126350593533678,2.2555310562871815,1.6741784427663475,3.7313131803030877,0.4975124378109399,0.8617168196859992,1.41388014195032,6.6081049223313615,0.0,0.0,4.3647425014148284,3.661778221820907,3.2894736842105274,3.4656755765962983,2.398128310839335,1.7449163409552992,0.33170000712076825,0.19455754800545685
Ablate L3,3,-0.05438504693234828,0.7774499775023038,-0.3565028161802341,1.1159471642387464,-0.38973562645762644,1.2071377009004802,0.0,0.0,0.0,0.0,-0.8333333333333334,1.4433756729740643,0.5376344086021542,0.9312101115961771,-1.1904761904761922,2.0619652471058094,0.0973135232925415,0.7076304199777044,-0.004215796788533528,0.12928662908367097
Ablate L4,4,1.1540491141064138,1.1375921362900037,0.9886381184495908,0.7795945431750424,1.5387698310224636,1.8386297523392519,0.7462686567164146,0.746268656716417,2.176113360323891,2.484786892623238,0.8333333333333334,1.4433756729740643,1.5350877192982466,1.483305839744376,1.5350877192982466,1.483305839744376,1.5603373448053997,0.5588518665899104,0.22506320476531982,0.09401873004535606
Ablate L5,5,1.1240116477304458,1.3041959365000726,1.268796992481209,2.2462100157661498,1.9428683390809975,1.824233103468006,0.0,0.0,1.4254385964912284,3.8408508526616276,0.0,0.0,1.4254385964912284,3.8408508526616183,3.8063909774436104,6.738630047298449,2.1547794342041016,1.3960655582139363,0.2676950891812642,0.14086120310004693
