Method,Hole Exploration,Wrong Hole Exploration,Hesitating,Changing Direction,Walking
Our Proposed,81.59 ± 2.83,82.41 ± 0.40,72.80 ± 11.06,75.88 ± 5.37,65.16 ± 5.93
Ablate L1,81.59 ± 2.83,82.78 ± 2.85,72.80 ± 11.06,72.97 ± 5.46,62.56 ± 4.38
Ablate L2,81.09 ± 2.40,80.99 ± 6.22,72.80 ± 11.06,71.51 ± 2.03,61.87 ± 9.39
Ablate L3,81.59 ± 2.83,82.41 ± 0.40,73.64 ± 10.84,75.34 ± 5.53,66.35 ± 4.04
Ablate L4,80.85 ± 2.28,80.23 ± 2.11,71.97 ± 9.69,74.34 ± 3.91,63.63 ± 7.38
Ablate L5,81.59 ± 2.83,80.98 ± 3.46,72.80 ± 11.06,74.45 ± 1.58,61.36 ± 6.90
