Method,Acc,Recall,F1
Our Proposed,74.70 ± 0.70,71.85 ± 1.82,72.80 ± 1.22
Ablate L1,73.20 ± 0.63,70.29 ± 1.66,71.13 ± 1.39
Ablate L2,73.30 ± 2.43,70.94 ± 3.94,71.13 ± 4.89
Ablate L3,74.76 ± 1.09,72.21 ± 1.45,73.19 ± 0.77
Ablate L4,73.55 ± 0.74,70.86 ± 2.53,71.27 ± 3.03
Ablate L5,73.58 ± 0.77,70.58 ± 2.78,70.86 ± 2.35
