fold,window,target_raw_label,behavior,metric,baseline,perturbed,delta_perturb_minus_baseline
fold01,L1,1,Hole Exploration,recall,83.5820895522388,83.5820895522388,0.0
fold01,L1,1,Wrong Hole Exploration,recall,82.18810916179336,80.00730994152048,-2.1807992202728883
fold01,L1,1,Hesitating,recall,63.41463414634146,63.41463414634146,0.0
fold01,L1,1,Changing Direction,recall,75.31833616298812,73.37648556876061,-1.9418505942275033
fold01,L1,1,Walking,recall,66.44736842105263,66.11842105263158,-0.3289473684210549
fold01,L2,2,Hole Exploration,recall,83.5820895522388,83.5820895522388,0.0
fold01,L2,2,Wrong Hole Exploration,recall,82.18810916179336,77.78996101364523,-4.398148148148138
fold01,L2,2,Hesitating,recall,63.41463414634146,63.41463414634146,0.0
fold01,L2,2,Changing Direction,recall,75.31833616298812,69.06833616298812,-6.25
fold01,L2,2,Walking,recall,66.44736842105263,60.19736842105263,-6.25
fold01,L3,3,Hole Exploration,recall,83.5820895522388,83.5820895522388,0.0
fold01,L3,3,Wrong Hole Exploration,recall,82.18810916179336,82.18810916179336,0.0
fold01,L3,3,Hesitating,recall,63.41463414634146,63.41463414634146,0.0
fold01,L3,3,Changing Direction,recall,75.31833616298812,73.70543293718166,-1.6129032258064626
fold01,L3,3,Walking,recall,66.44736842105263,66.44736842105263,0.0
fold01,L4,4,Hole Exploration,recall,83.5820895522388,83.5820895522388,0.0
fold01,L4,4,Wrong Hole Exploration,recall,82.18810916179336,82.39522417153997,0.20711500974660169
fold01,L4,4,Hesitating,recall,63.41463414634146,63.41463414634146,0.0
fold01,L4,4,Changing Direction,recall,75.31833616298812,73.67359932088286,-1.6447368421052602
fold01,L4,4,Walking,recall,66.44736842105263,64.80263157894737,-1.6447368421052602
fold01,L5,5,Hole Exploration,recall,83.5820895522388,83.5820895522388,0.0
fold01,L5,5,Wrong Hole Exploration,recall,82.18810916179336,78.89863547758284,-3.2894736842105203
fold01,L5,5,Hesitating,recall,63.41463414634146,63.41463414634146,0.0
fold01,L5,5,Changing Direction,recall,75.31833616298812,72.0288624787776,-3.2894736842105203
fold01,L5,5,Walking,recall,66.44736842105263,59.58646616541354,-6.86090225563909
fold02,L1,1,Hole Exploration,recall,78.35820895522389,78.35820895522389,0.0
fold02,L1,1,Wrong Hole Exploration,recall,82.16093117408907,84.08400809716599,1.9230769230769198
fold02,L1,1,Hesitating,recall,85.0,85.0,0.0
fold02,L1,1,Changing Direction,recall,70.80857385398981,72.42147707979626,1.6129032258064484
fold02,L1,1,Walking,recall,70.34774436090225,66.77631578947368,-3.5714285714285694
fold02,L2,2,Hole Exploration,recall,78.35820895522389,79.1044776119403,0.7462686567164099
fold02,L2,2,Wrong Hole Exploration,recall,82.16093117408907,83.70445344129554,1.5435222672064697
fold02,L2,2,Hesitating,recall,85.0,85.0,0.0
fold02,L2,2,Changing Direction,recall,70.80857385398981,68.50594227504244,-2.30263157894737
fold02,L2,2,Walking,recall,70.34774436090225,68.04511278195488,-2.30263157894737
fold02,L3,3,Hole Exploration,recall,78.35820895522389,78.35820895522389,0.0
fold02,L3,3,Wrong Hole Exploration,recall,82.16093117408907,82.16093117408907,0.0
fold02,L3,3,Hesitating,recall,85.0,85.0,0.0
fold02,L3,3,Changing Direction,recall,70.80857385398981,69.19567062818336,-1.6129032258064484
fold02,L3,3,Walking,recall,70.34774436090225,70.34774436090225,0.0
fold02,L4,4,Hole Exploration,recall,78.35820895522389,78.35820895522389,0.0
fold02,L4,4,Wrong Hole Exploration,recall,82.16093117408907,79.52935222672065,-2.631578947368425
fold02,L4,4,Hesitating,recall,85.0,85.0,0.0
fold02,L4,4,Changing Direction,recall,70.80857385398981,68.1769949066214,-2.6315789473684106
fold02,L4,4,Walking,recall,70.34774436090225,67.71616541353384,-2.6315789473684106
fold02,L5,5,Hole Exploration,recall,78.35820895522389,78.35820895522389,0.0
fold02,L5,5,Wrong Hole Exploration,recall,82.16093117408907,80.51619433198381,-1.6447368421052602
fold02,L5,5,Hesitating,recall,85.0,85.0,0.0
fold02,L5,5,Changing Direction,recall,70.80857385398981,69.16383701188455,-1.6447368421052602
fold02,L5,5,Walking,recall,70.34774436090225,61.560150375939855,-8.787593984962399
fold03,L1,1,Hole Exploration,recall,82.83582089552239,82.83582089552239,0.0
fold03,L1,1,Wrong Hole Exploration,recall,82.86943319838058,80.28846153846153,-2.5809716599190438
fold03,L1,1,Hesitating,recall,70.0,70.0,0.0
fold03,L1,1,Changing Direction,recall,81.5046689303905,77.62096774193549,-3.8837011884550066
fold03,L1,1,Walking,recall,58.6936090225564,61.60714285714286,2.9135338345864596
fold03,L2,2,Hole Exploration,recall,82.83582089552239,82.83582089552239,0.0
fold03,L2,2,Wrong Hole Exploration,recall,82.86943319838058,76.06275303643724,-6.8066801619433335
fold03,L2,2,Hesitating,recall,70.0,70.0,0.0
fold03,L2,2,Changing Direction,recall,81.5046689303905,78.54414261460101,-2.9605263157894797
fold03,L2,2,Walking,recall,58.6936090225564,55.73308270676692,-2.9605263157894797
fold03,L3,3,Hole Exploration,recall,82.83582089552239,82.83582089552239,0.0
fold03,L3,3,Wrong Hole Exploration,recall,82.86943319838058,82.86943319838058,0.0
fold03,L3,3,Hesitating,recall,70.0,72.5,2.5
fold03,L3,3,Changing Direction,recall,81.5046689303905,81.5046689303905,0.0
fold03,L3,3,Walking,recall,58.6936090225564,58.6936090225564,0.0
fold03,L4,4,Hole Exploration,recall,82.83582089552239,82.83582089552239,0.0
fold03,L4,4,Wrong Hole Exploration,recall,82.86943319838058,81.88259109311741,-0.9868421052631646
fold03,L4,4,Hesitating,recall,70.0,70.0,0.0
fold03,L4,4,Changing Direction,recall,81.5046689303905,80.51782682512734,-0.9868421052631504
fold03,L4,4,Walking,recall,58.6936090225564,57.70676691729324,-0.9868421052631646
fold03,L5,5,Hole Exploration,recall,82.83582089552239,82.83582089552239,0.0
fold03,L5,5,Wrong Hole Exploration,recall,82.86943319838058,80.89574898785426,-1.973684210526315
fold03,L5,5,Hesitating,recall,70.0,70.0,0.0
fold03,L5,5,Changing Direction,recall,81.5046689303905,79.53098471986416,-1.9736842105263293
fold03,L5,5,Walking,recall,58.6936090225564,56.71992481203007,-1.9736842105263293
