Method,Hole Exploration,Wrong Hole Exploration,Hesitating,Changing Direction,Walking
Our Proposed,81.59 ± 2.83,82.41 ± 0.40,72.80 ± 11.06,75.88 ± 5.37,65.16 ± 5.93
Ablate L1,81.59 ± 2.83,83.02 ± 0.95,72.80 ± 11.06,74.80 ± 5.84,65.16 ± 5.93
Ablate L2,81.59 ± 2.83,83.08 ± 2.68,72.80 ± 11.06,75.21 ± 5.08,63.96 ± 6.68
Ablate L3,81.59 ± 2.83,82.41 ± 0.40,72.80 ± 11.06,75.34 ± 5.53,65.16 ± 5.93
Ablate L4,81.59 ± 2.83,81.64 ± 1.08,72.80 ± 11.06,75.11 ± 5.92,64.40 ± 5.37
Ablate L5,81.59 ± 2.83,81.09 ± 0.85,72.80 ± 11.06,74.56 ± 5.84,63.85 ± 2.25
