Method,Acc,Recall,F1
Our Proposed,74.70 ± 0.70,71.85 ± 1.82,72.80 ± 1.22
Ablate L1,74.47 ± 0.62,71.70 ± 1.88,72.66 ± 1.22
Ablate L2,75.07 ± 1.82,72.25 ± 2.45,73.09 ± 2.53
Ablate L3,74.47 ± 0.62,71.67 ± 1.89,72.56 ± 1.24
Ablate L4,74.35 ± 0.85,71.60 ± 1.69,72.46 ± 1.05
Ablate L5,74.09 ± 1.62,71.41 ± 0.48,72.29 ± 0.45
