condition,display_name,target_raw_label,fold,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,true_probability,logit_margin,run1_accuracy,run2_accuracy,run1_affected_windows,run2_affected_windows,run1_confusion_matrix,run2_confusion_matrix,run1_critical_time_bins,run2_critical_time_bins,run1_repeats,run2_repeats
baseline,Our Proposed,,fold01,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.20146361329182,76.55756381566982,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,70.51322162151337,3.8527332544326782,80.73394495412845,69.44444444444444,0,0,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",,,,
ablate_l1,Ablate L1,1.0,fold01,74.394750254842,71.06116138441931,72.55123991558195,58.710114029356944,84.5368535294581,77.23132558295141,83.5820895522388,84.03996101364523,63.41463414634146,72.0925297113752,66.44736842105263,70.79303860664368,3.92144775390625,80.73394495412845,68.05555555555556,7,10,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[23, 3, 1], [10, 19, 2], [2, 5, 7]]",974.0,2119.0,1.0,1.0
ablate_l2,Ablate L2,2.0,fold01,77.32543323139653,73.40099768365008,74.96022001119292,63.11994077547827,84.84865014884848,77.48311896449323,83.5820895522388,86.22076023391813,63.41463414634146,77.26018675721562,66.77631578947368,72.12638854980469,4.007199645042419,81.03975535168195,73.61111111111111,72,10,"[[112, 20, 2], [24, 127, 1], [5, 10, 26]]","[[24, 3, 0], [6, 22, 3], [2, 5, 7]]",18944.0,2156.0,1.0,1.0
ablate_l3,Ablate L3,3.0,fold01,74.394750254842,70.98151184240417,72.2470585993062,58.64949431035018,83.8422762855215,76.11249742272865,83.5820895522388,82.18810916179336,63.41463414634146,73.70543293718166,66.44736842105263,69.8223352432251,3.7652944326400757,80.73394495412845,68.05555555555556,0,1,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[22, 3, 2], [8, 20, 3], [2, 5, 7]]",0.0,200.0,1.0,1.0
ablate_l4,Ablate L4,4.0,fold01,74.47757390417941,71.08054975977826,72.27286514529084,58.650245987552864,83.9716282917515,76.1291451349538,83.5820895522388,80.87231968810917,63.41463414634146,74.0025466893039,65.13157894736842,69.9740618467331,3.7631869316101074,79.51070336391437,69.44444444444444,37,1,"[[112, 20, 2], [27, 122, 3], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",6494.0,126.0,1.0,1.0
ablate_l5,Ablate L5,5.0,fold01,74.93628950050969,71.40949712819932,72.99122572517767,59.364220519133674,84.31957721239613,77.02873422494474,83.5820895522388,81.85916179337232,63.41463414634146,74.98938879456705,66.11842105263158,70.52683234214783,3.8734495639801025,80.42813455657493,69.44444444444444,51,4,"[[112, 20, 2], [27, 125, 0], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",12095.0,809.0,1.0,1.0
baseline,Our Proposed,,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.52355927498368,73.08977594022288,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,72.01038002967834,3.8167110681533813,81.59509202453987,66.19718309859155,0,0,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[21, 5, 0], [10, 18, 3], [2, 4, 8]]",,,,
ablate_l1,Ablate L1,1.0,fold02,74.60036291367838,74.45559973690754,74.47284989000605,59.492245096433564,83.97724207586512,73.5203728478186,78.35820895522389,84.08400809716599,85.0,70.80857385398981,70.34774436090225,72.86767065525055,3.948980450630188,81.59509202453987,67.6056338028169,2,8,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[22, 4, 0], [10, 18, 3], [2, 4, 8]]",270.0,1470.0,1.0,1.0
ablate_l2,Ablate L2,2.0,fold02,74.69109133327572,74.65802888670513,74.67251260584763,59.72372733247039,84.23306132199713,73.86572909899918,78.35820895522389,84.6912955465587,85.0,69.49278438030561,69.03195488721803,72.8206992149353,3.92846143245697,80.3680981595092,69.01408450704226,39,8,"[[105, 27, 2], [25, 123, 4], [2, 4, 34]]","[[23, 3, 0], [10, 18, 3], [2, 4, 8]]",9657.0,1486.0,1.0,1.0
ablate_l3,Ablate L3,3.0,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.40370971544236,72.96264176232364,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,72.0100998878479,3.7814329862594604,81.59509202453987,66.19718309859155,1,1,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[21, 5, 0], [10, 18, 3], [2, 4, 8]]",108.0,138.0,1.0,1.0
