Method,Hole Exploration,Wrong Hole Exploration,Hesitating,Changing Direction,Walking
Our Proposed,81.59 ± 2.83,82.41 ± 0.40,72.80 ± 11.06,75.88 ± 5.37,65.16 ± 5.93
Ablate L1,81.59 ± 2.83,82.43 ± 1.91,72.80 ± 11.06,75.88 ± 5.37,65.16 ± 5.93
Ablate L2,81.84 ± 2.40,81.62 ± 1.77,72.80 ± 11.06,74.45 ± 5.17,63.74 ± 6.17
Ablate L3,81.59 ± 2.83,82.41 ± 0.40,73.64 ± 10.84,75.88 ± 5.37,65.16 ± 5.93
Ablate L4,81.59 ± 2.83,81.64 ± 0.78,72.80 ± 11.06,75.11 ± 5.72,64.40 ± 5.57
Ablate L5,81.59 ± 2.83,81.75 ± 1.03,72.80 ± 11.06,75.22 ± 6.03,64.51 ± 5.29
