Method,Acc,Recall,F1
Our Proposed,74.70 ± 0.70,71.85 ± 1.82,72.80 ± 1.22
Ablate L1,74.71 ± 0.38,71.86 ± 2.27,72.87 ± 1.50
Ablate L2,74.33 ± 0.27,71.63 ± 2.41,72.52 ± 1.69
Ablate L3,74.75 ± 0.75,71.99 ± 1.64,72.91 ± 1.05
Ablate L4,74.35 ± 0.81,71.60 ± 1.72,72.46 ± 1.10
Ablate L5,74.40 ± 0.98,71.63 ± 1.60,72.41 ± 0.93
