Method,Hole Exploration,Wrong Hole Exploration,Hesitating,Changing Direction,Walking
Our Proposed,81.59 ± 2.83,82.41 ± 0.40,72.80 ± 11.06,75.88 ± 5.37,65.16 ± 5.93
Ablate L1,81.59 ± 2.83,83.66 ± 0.69,72.80 ± 11.06,74.80 ± 5.84,65.16 ± 5.93
Ablate L2,81.59 ± 2.83,83.61 ± 3.29,72.80 ± 11.06,75.10 ± 4.90,63.85 ± 7.12
Ablate L3,81.59 ± 2.83,82.41 ± 0.40,72.80 ± 11.06,75.34 ± 5.53,65.16 ± 5.93
Ablate L4,81.59 ± 2.83,81.31 ± 1.08,72.80 ± 11.06,74.78 ± 6.04,64.07 ± 5.25
Ablate L5,81.59 ± 2.83,81.09 ± 0.84,72.80 ± 11.06,74.56 ± 5.52,63.85 ± 2.87
