architecture,fold,condition,target,metric,recomputed,saved,absolute_difference
no_conv,fold03,baseline,5,f1,63.46786771201124,63.46786771201124,0.0
no_conv,fold03,baseline,5,c0,80.59701492537313,80.59701492537313,0.0
no_conv,fold03,baseline,5,c1,76.56882591093117,76.56882591093117,0.0
no_conv,fold03,baseline,5,c2,87.5,87.5,0.0
no_conv,fold03,baseline,5,c3,58.76485568760611,58.76485568760611,0.0
no_conv,fold03,baseline,5,c4,50.46992481203007,50.46992481203007,0.0
no_lstm,fold03,baseline,2,accuracy,72.75987211613239,72.75987211613239,0.0
no_lstm,fold03,baseline,2,recall,70.38454507254396,70.38454507254396,0.0
no_lstm,fold03,baseline,2,f1,69.92392431422152,69.92392431422152,0.0
no_lstm,fold03,baseline,2,c0,77.61194029850746,77.61194029850746,0.0
no_lstm,fold03,baseline,2,c1,77.93522267206478,77.93522267206478,0.0
no_lstm,fold03,baseline,2,c2,75.0,75.0,0.0
no_lstm,fold03,baseline,2,c3,74.95755517826825,74.95755517826825,0.0
no_lstm,fold03,baseline,2,c4,60.902255639097746,60.90225563909775,7.105427357601002e-15
no_lstm,fold03,baseline,3,accuracy,72.75987211613239,72.75987211613239,0.0
no_lstm,fold03,baseline,3,recall,70.38454507254396,70.38454507254396,0.0
no_lstm,fold03,baseline,3,f1,69.92392431422152,69.92392431422152,0.0
no_lstm,fold03,baseline,3,c0,77.61194029850746,77.61194029850746,0.0
no_lstm,fold03,baseline,3,c1,77.93522267206478,77.93522267206478,0.0
no_lstm,fold03,baseline,3,c2,75.0,75.0,0.0
no_lstm,fold03,baseline,3,c3,74.95755517826825,74.95755517826825,0.0
no_lstm,fold03,baseline,3,c4,60.902255639097746,60.90225563909775,7.105427357601002e-15
no_lstm,fold03,baseline,5,accuracy,72.75987211613239,72.75987211613239,0.0
no_lstm,fold03,baseline,5,recall,70.38454507254396,70.38454507254396,0.0
no_lstm,fold03,baseline,5,f1,69.92392431422152,69.92392431422152,0.0
no_lstm,fold03,baseline,5,c0,77.61194029850746,77.61194029850746,0.0
no_lstm,fold03,baseline,5,c1,77.93522267206478,77.93522267206478,0.0
no_lstm,fold03,baseline,5,c2,75.0,75.0,0.0
no_lstm,fold03,baseline,5,c3,74.95755517826825,74.95755517826825,0.0
no_lstm,fold03,baseline,5,c4,60.902255639097746,60.90225563909775,7.105427357601002e-15
no_attention,fold03,baseline,2,accuracy,70.3469281949365,70.3469281949365,0.0
no_attention,fold03,baseline,2,recall,67.82385763304599,67.82385763304599,0.0
no_attention,fold03,baseline,2,f1,67.70528862893082,67.70528862893082,0.0
no_attention,fold03,baseline,2,c0,84.32835820895522,84.32835820895522,0.0
no_attention,fold03,baseline,2,c1,75.12651821862349,75.12651821862349,0.0
no_attention,fold03,baseline,2,c2,82.5,82.5,0.0
no_attention,fold03,baseline,2,c3,73.07937181663837,73.07937181663837,0.0
no_attention,fold03,baseline,2,c4,56.71992481203007,56.71992481203007,0.0
no_attention,fold03,baseline,3,accuracy,70.3469281949365,70.3469281949365,0.0
no_attention,fold03,baseline,3,recall,67.82385763304599,67.82385763304599,0.0
no_attention,fold03,baseline,3,f1,67.70528862893082,67.70528862893082,0.0
no_attention,fold03,baseline,3,c0,84.32835820895522,84.32835820895522,0.0
no_attention,fold03,baseline,3,c1,75.12651821862349,75.12651821862349,0.0
no_attention,fold03,baseline,3,c2,82.5,82.5,0.0
no_attention,fold03,baseline,3,c3,73.07937181663837,73.07937181663837,0.0
no_attention,fold03,baseline,3,c4,56.71992481203007,56.71992481203007,0.0
no_attention,fold03,baseline,5,accuracy,70.3469281949365,70.3469281949365,0.0
no_attention,fold03,baseline,5,recall,67.82385763304599,67.82385763304599,0.0
no_attention,fold03,baseline,5,f1,67.70528862893082,67.70528862893082,0.0
no_attention,fold03,baseline,5,c0,84.32835820895522,84.32835820895522,0.0
no_attention,fold03,baseline,5,c1,75.12651821862349,75.12651821862349,0.0
no_attention,fold03,baseline,5,c2,82.5,82.5,0.0
no_attention,fold03,baseline,5,c3,73.07937181663837,73.07937181663837,0.0
no_attention,fold03,baseline,5,c4,56.71992481203007,56.71992481203007,0.0
full,fold03,maximum,2,accuracy,72.33431262421152,72.33431262421152,0.0
full,fold03,maximum,2,recall,67.95438398782036,67.95438398782036,0.0
full,fold03,maximum,2,f1,68.8775576079074,68.8775576079074,0.0
full,fold03,maximum,2,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,maximum,2,c1,76.06275303643724,76.06275303643724,0.0
full,fold03,maximum,2,c2,70.0,70.0,0.0
full,fold03,maximum,2,c3,78.54414261460101,78.54414261460101,0.0
full,fold03,maximum,2,c4,55.733082706766915,55.73308270676692,7.105427357601002e-15
full,fold03,maximum,3,accuracy,75.27650565972522,75.27650565972522,0.0
full,fold03,maximum,3,recall,70.63994404180148,70.63994404180148,0.0
full,fold03,maximum,3,f1,71.83479164460448,71.83479164460448,0.0
full,fold03,maximum,3,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,maximum,3,c1,82.86943319838058,82.86943319838058,0.0
full,fold03,maximum,3,c2,72.5,72.5,0.0
full,fold03,maximum,3,c3,81.5046689303905,81.5046689303905,0.0
full,fold03,maximum,3,c4,58.693609022556394,58.6936090225564,7.105427357601002e-15
full,fold03,maximum,5,accuracy,74.20288602782338,74.20288602782338,0.0
full,fold03,maximum,5,recall,69.5653826382927,69.5653826382927,0.0
full,fold03,maximum,5,f1,70.68241557148582,70.68241557148582,0.0
full,fold03,maximum,5,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,maximum,5,c1,80.89574898785426,80.89574898785426,0.0
full,fold03,maximum,5,c2,70.0,70.0,0.0
full,fold03,maximum,5,c3,79.53098471986416,79.53098471986416,0.0
full,fold03,maximum,5,c4,56.71992481203007,56.71992481203007,0.0
full,fold03,attention_zero,2,accuracy,74.04951179469455,74.04951179469455,0.0
full,fold03,attention_zero,2,recall,69.45573351548569,69.45573351548569,0.0
full,fold03,attention_zero,2,f1,70.32135402020072,70.32135402020072,0.0
full,fold03,attention_zero,2,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,attention_zero,2,c1,80.56680161943319,80.56680161943319,0.0
full,fold03,attention_zero,2,c2,70.0,70.0,0.0
full,fold03,attention_zero,2,c3,79.20203735144312,79.20203735144312,0.0
full,fold03,attention_zero,2,c4,56.39097744360902,56.39097744360902,0.0
full,fold03,attention_zero,3,accuracy,75.12313142659639,75.12313142659639,0.0
full,fold03,attention_zero,3,recall,70.22327737513481,70.22327737513481,0.0
full,fold03,attention_zero,3,f1,71.50789354715904,71.50789354715904,0.0
full,fold03,attention_zero,3,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,attention_zero,3,c1,82.86943319838058,82.86943319838058,0.0
full,fold03,attention_zero,3,c2,70.0,70.0,0.0
full,fold03,attention_zero,3,c3,81.5046689303905,81.5046689303905,0.0
full,fold03,attention_zero,3,c4,58.693609022556394,58.6936090225564,7.105427357601002e-15
full,fold03,attention_zero,5,accuracy,74.50963449408104,74.50963449408104,0.0
full,fold03,attention_zero,5,recall,69.78468088390673,69.78468088390673,0.0
full,fold03,attention_zero,5,f1,70.92019269060003,70.92019269060003,0.0
full,fold03,attention_zero,5,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,attention_zero,5,c1,81.55364372469636,81.55364372469636,0.0
full,fold03,attention_zero,5,c2,70.0,70.0,0.0
full,fold03,attention_zero,5,c3,80.18887945670627,80.18887945670627,0.0
full,fold03,attention_zero,5,c4,57.377819548872175,57.377819548872175,0.0
full,fold03,attention_shuffle,2,accuracy,72.05564676401971,72.05564676401971,0.0
full,fold03,attention_shuffle,2,recall,68.6831367008685,68.6831367008685,0.0
full,fold03,attention_shuffle,2,f1,67.61346586537744,67.61346586537744,0.0
full,fold03,attention_shuffle,2,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,attention_shuffle,2,c1,76.29048582995952,76.29048582995952,0.0
full,fold03,attention_shuffle,2,c2,70.0,70.0,0.0
full,fold03,attention_shuffle,2,c3,73.31281833616299,73.31281833616299,0.0
full,fold03,attention_shuffle,2,c4,55.6860902255639,55.6860902255639,0.0
full,fold03,attention_shuffle,3,accuracy,75.98073101183789,75.98073101183789,0.0
full,fold03,attention_shuffle,3,recall,71.83042023227767,71.83042023227767,0.0
full,fold03,attention_shuffle,3,f1,73.25148837380121,73.25148837380121,0.0
full,fold03,attention_shuffle,3,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,attention_shuffle,3,c1,82.86943319838058,82.86943319838058,0.0
full,fold03,attention_shuffle,3,c2,72.5,72.5,0.0
full,fold03,attention_shuffle,3,c3,81.5046689303905,81.5046689303905,0.0
full,fold03,attention_shuffle,3,c4,62.26503759398497,62.26503759398497,0.0
full,fold03,attention_shuffle,5,accuracy,73.92422016763156,73.92422016763156,0.0
full,fold03,attention_shuffle,5,recall,70.74019466836789,70.74019466836789,0.0
full,fold03,attention_shuffle,5,f1,70.07881871427978,70.07881871427978,0.0
full,fold03,attention_shuffle,5,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,attention_shuffle,5,c1,77.27732793522267,77.27732793522267,0.0
full,fold03,attention_shuffle,5,c2,70.0,70.0,0.0
full,fold03,attention_shuffle,5,c3,75.9125636672326,75.9125636672326,0.0
full,fold03,attention_shuffle,5,c4,60.244360902255636,60.24436090225564,7.105427357601002e-15
