architecture,fold,condition,target,metric,recomputed,saved,absolute_difference
no_attention,fold01,baseline,3,c1,68.89619883040936,68.89619883040936,0.0
no_attention,fold01,baseline,3,c2,73.17073170731707,73.17073170731707,0.0
no_attention,fold01,baseline,3,c3,74.98938879456705,74.98938879456705,0.0
no_attention,fold01,baseline,3,c4,62.546992481203006,62.546992481203006,0.0
no_attention,fold01,baseline,5,accuracy,70.14525993883792,70.14525993883792,0.0
no_attention,fold01,baseline,5,recall,67.64842765301748,67.64842765301748,0.0
no_attention,fold01,baseline,5,f1,68.86081677453036,68.86081677453036,0.0
no_attention,fold01,baseline,5,c0,84.32835820895522,84.32835820895522,0.0
no_attention,fold01,baseline,5,c1,68.89619883040936,68.89619883040936,0.0
no_attention,fold01,baseline,5,c2,73.17073170731707,73.17073170731707,0.0
no_attention,fold01,baseline,5,c3,74.98938879456705,74.98938879456705,0.0
no_attention,fold01,baseline,5,c4,62.546992481203006,62.546992481203006,0.0
full,fold01,maximum,2,accuracy,72.87844036697248,72.87844036697248,0.0
full,fold01,maximum,2,recall,70.05309686829028,70.05309686829028,0.0
full,fold01,maximum,2,f1,71.07442537311147,71.07442537311147,0.0
full,fold01,maximum,2,c0,83.5820895522388,83.5820895522388,0.0
full,fold01,maximum,2,c1,77.78996101364523,77.78996101364523,0.0
full,fold01,maximum,2,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,maximum,2,c3,69.06833616298812,69.06833616298812,0.0
full,fold01,maximum,2,c4,60.19736842105263,60.19736842105263,0.0
full,fold01,maximum,3,accuracy,74.394750254842,74.394750254842,0.0
full,fold01,maximum,3,recall,70.98151184240417,70.98151184240417,0.0
full,fold01,maximum,3,f1,72.2470585993062,72.2470585993062,0.0
full,fold01,maximum,3,c0,83.5820895522388,83.5820895522388,0.0
full,fold01,maximum,3,c1,82.18810916179336,82.18810916179336,0.0
full,fold01,maximum,3,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,maximum,3,c3,73.70543293718166,73.70543293718166,0.0
full,fold01,maximum,3,c4,66.44736842105263,66.44736842105263,0.0
full,fold01,maximum,5,accuracy,72.86569826707441,72.86569826707441,0.0
full,fold01,maximum,5,recall,69.23217883245997,69.23217883245997,0.0
full,fold01,maximum,5,f1,70.14809611839456,70.14809611839456,0.0
full,fold01,maximum,5,c0,83.5820895522388,83.5820895522388,0.0
full,fold01,maximum,5,c1,78.89863547758284,78.89863547758284,0.0
full,fold01,maximum,5,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,maximum,5,c3,72.0288624787776,72.0288624787776,0.0
full,fold01,maximum,5,c4,59.58646616541354,59.58646616541354,0.0
full,fold01,attention_zero,2,accuracy,76.9367991845056,76.9367991845056,0.0
full,fold01,attention_zero,2,recall,73.00301197864682,73.00301197864682,0.0
full,fold01,attention_zero,2,f1,74.84976742361665,74.84976742361665,0.0
full,fold01,attention_zero,2,c0,83.5820895522388,83.5820895522388,0.0
full,fold01,attention_zero,2,c1,85.02680311890839,85.02680311890839,0.0
full,fold01,attention_zero,2,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,attention_zero,2,c3,77.91808149405773,77.91808149405773,0.0
full,fold01,attention_zero,2,c4,67.43421052631578,67.43421052631578,0.0
full,fold01,attention_zero,3,accuracy,74.394750254842,74.394750254842,0.0
full,fold01,attention_zero,3,recall,70.98151184240417,70.98151184240417,0.0
full,fold01,attention_zero,3,f1,72.2470585993062,72.2470585993062,0.0
full,fold01,attention_zero,3,c0,83.5820895522388,83.5820895522388,0.0
full,fold01,attention_zero,3,c1,82.18810916179336,82.18810916179336,0.0
full,fold01,attention_zero,3,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,attention_zero,3,c3,73.70543293718166,73.70543293718166,0.0
full,fold01,attention_zero,3,c4,66.44736842105263,66.44736842105263,0.0
full,fold01,attention_zero,5,accuracy,74.78338430173292,74.78338430173292,0.0
full,fold01,attention_zero,5,recall,71.29984800539229,71.29984800539229,0.0
full,fold01,attention_zero,5,f1,72.87851333537697,72.87851333537697,0.0
full,fold01,attention_zero,5,c0,83.5820895522388,83.5820895522388,0.0
full,fold01,attention_zero,5,c1,81.53021442495127,81.53021442495127,0.0
full,fold01,attention_zero,5,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,attention_zero,5,c3,74.66044142614601,74.66044142614601,0.0
full,fold01,attention_zero,5,c4,65.78947368421052,65.78947368421052,0.0
full,fold01,attention_shuffle,2,accuracy,74.49031600407747,74.49031600407747,0.0
full,fold01,attention_shuffle,2,recall,71.29881758245824,71.29881758245824,0.0
full,fold01,attention_shuffle,2,f1,73.1277604157148,73.1277604157148,0.0
full,fold01,attention_shuffle,2,c0,82.08955223880598,82.08955223880598,0.0
full,fold01,attention_shuffle,2,c1,82.2733918128655,82.2733918128655,0.0
full,fold01,attention_shuffle,2,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,attention_shuffle,2,c3,71.69991511035653,71.69991511035653,0.0
full,fold01,attention_shuffle,2,c4,62.82894736842105,62.82894736842105,0.0
full,fold01,attention_shuffle,3,accuracy,74.394750254842,74.394750254842,0.0
full,fold01,attention_shuffle,3,recall,70.98151184240417,70.98151184240417,0.0
full,fold01,attention_shuffle,3,f1,72.39887664942935,72.39887664942935,0.0
full,fold01,attention_shuffle,3,c0,83.5820895522388,83.5820895522388,0.0
full,fold01,attention_shuffle,3,c1,82.18810916179336,82.18810916179336,0.0
full,fold01,attention_shuffle,3,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,attention_shuffle,3,c3,73.70543293718166,73.70543293718166,0.0
full,fold01,attention_shuffle,3,c4,66.44736842105263,66.44736842105263,0.0
full,fold01,attention_shuffle,5,accuracy,72.24133537206932,72.24133537206932,0.0
full,fold01,attention_shuffle,5,recall,67.39947206554267,67.39947206554267,0.0
full,fold01,attention_shuffle,5,f1,68.67571277260117,68.67571277260117,0.0
full,fold01,attention_shuffle,5,c0,83.5820895522388,83.5820895522388,0.0
full,fold01,attention_shuffle,5,c1,80.5433723196881,80.5433723196881,0.0
full,fold01,attention_shuffle,5,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,attention_shuffle,5,c3,73.67359932088286,73.67359932088286,0.0
full,fold01,attention_shuffle,5,c4,54.088345864661655,54.088345864661655,0.0
full,fold02,baseline,2,accuracy,73.89613756156571,73.89613756156571,0.0
full,fold02,baseline,2,recall,73.81457409588191,73.81457409588191,0.0
full,fold02,baseline,2,f1,73.93354624417805,73.93354624417805,0.0
full,fold02,baseline,2,c0,78.35820895522389,78.35820895522389,0.0
full,fold02,baseline,2,c1,82.16093117408907,82.16093117408907,0.0
full,fold02,baseline,2,c2,85.0,85.0,0.0
full,fold02,baseline,2,c3,70.80857385398981,70.80857385398981,0.0
full,fold02,baseline,2,c4,70.34774436090225,70.34774436090225,0.0
full,fold02,baseline,3,accuracy,73.89613756156571,73.89613756156571,0.0
full,fold02,baseline,3,recall,73.81457409588191,73.81457409588191,0.0
full,fold02,baseline,3,f1,73.93354624417805,73.93354624417805,0.0
full,fold02,baseline,3,c0,78.35820895522389,78.35820895522389,0.0
full,fold02,baseline,3,c1,82.16093117408907,82.16093117408907,0.0
full,fold02,baseline,3,c2,85.0,85.0,0.0
full,fold02,baseline,3,c3,70.80857385398981,70.80857385398981,0.0
full,fold02,baseline,3,c4,70.34774436090225,70.34774436090225,0.0
full,fold02,baseline,5,accuracy,73.89613756156571,73.89613756156571,0.0
full,fold02,baseline,5,recall,73.81457409588191,73.81457409588191,0.0
full,fold02,baseline,5,f1,73.93354624417805,73.93354624417805,0.0
full,fold02,baseline,5,c0,78.35820895522389,78.35820895522389,0.0
full,fold02,baseline,5,c1,82.16093117408907,82.16093117408907,0.0
full,fold02,baseline,5,c2,85.0,85.0,0.0
full,fold02,baseline,5,c3,70.80857385398981,70.80857385398981,0.0
full,fold02,baseline,5,c4,70.34774436090225,70.34774436090225,0.0
no_conv,fold02,baseline,2,accuracy,68.19968893113281,68.19968893113281,0.0
no_conv,fold02,baseline,2,recall,69.8934227953499,69.8934227953499,0.0
no_conv,fold02,baseline,2,f1,67.4411228581538,67.4411228581538,0.0
no_conv,fold02,baseline,2,c0,82.08955223880598,82.08955223880598,0.0
no_conv,fold02,baseline,2,c1,72.49493927125506,72.49493927125506,0.0
no_conv,fold02,baseline,2,c2,75.0,75.0,0.0
no_conv,fold02,baseline,2,c3,59.15747028862479,59.15747028862479,0.0
no_conv,fold02,baseline,2,c4,79.08834586466165,79.08834586466165,0.0
no_conv,fold02,baseline,3,accuracy,68.19968893113281,68.19968893113281,0.0
no_conv,fold02,baseline,3,recall,69.8934227953499,69.8934227953499,0.0
no_conv,fold02,baseline,3,f1,67.4411228581538,67.4411228581538,0.0
no_conv,fold02,baseline,3,c0,82.08955223880598,82.08955223880598,0.0
no_conv,fold02,baseline,3,c1,72.49493927125506,72.49493927125506,0.0
no_conv,fold02,baseline,3,c2,75.0,75.0,0.0
no_conv,fold02,baseline,3,c3,59.15747028862479,59.15747028862479,0.0
no_conv,fold02,baseline,3,c4,79.08834586466165,79.08834586466165,0.0
no_conv,fold02,baseline,5,accuracy,68.19968893113281,68.19968893113281,0.0
no_conv,fold02,baseline,5,recall,69.8934227953499,69.8934227953499,0.0
no_conv,fold02,baseline,5,f1,67.4411228581538,67.4411228581538,0.0
no_conv,fold02,baseline,5,c0,82.08955223880598,82.08955223880598,0.0
no_conv,fold02,baseline,5,c1,72.49493927125506,72.49493927125506,0.0
no_conv,fold02,baseline,5,c2,75.0,75.0,0.0
no_conv,fold02,baseline,5,c3,59.15747028862479,59.15747028862479,0.0
no_conv,fold02,baseline,5,c4,79.08834586466165,79.08834586466165,0.0
no_lstm,fold02,baseline,2,accuracy,65.28557850168497,65.28557850168497,0.0
no_lstm,fold02,baseline,2,recall,63.48911088784514,63.48911088784514,0.0
no_lstm,fold02,baseline,2,f1,64.35977694374506,64.35977694374506,0.0
no_lstm,fold02,baseline,2,c0,75.3731343283582,75.3731343283582,0.0
no_lstm,fold02,baseline,2,c1,64.09412955465588,64.09412955465588,0.0
no_lstm,fold02,baseline,2,c2,70.0,70.0,0.0
no_lstm,fold02,baseline,2,c3,69.42911714770798,69.42911714770798,0.0
no_lstm,fold02,baseline,2,c4,58.599624060150376,58.599624060150376,0.0
no_lstm,fold02,baseline,3,accuracy,65.28557850168497,65.28557850168497,0.0
no_lstm,fold02,baseline,3,recall,63.48911088784514,63.48911088784514,0.0
no_lstm,fold02,baseline,3,f1,64.35977694374506,64.35977694374506,0.0
no_lstm,fold02,baseline,3,c0,75.3731343283582,75.3731343283582,0.0
no_lstm,fold02,baseline,3,c1,64.09412955465588,64.09412955465588,0.0
no_lstm,fold02,baseline,3,c2,70.0,70.0,0.0
no_lstm,fold02,baseline,3,c3,69.42911714770798,69.42911714770798,0.0
no_lstm,fold02,baseline,3,c4,58.599624060150376,58.599624060150376,0.0
no_lstm,fold02,baseline,5,accuracy,65.28557850168497,65.28557850168497,0.0
no_lstm,fold02,baseline,5,recall,63.48911088784514,63.48911088784514,0.0
no_lstm,fold02,baseline,5,f1,64.35977694374506,64.35977694374506,0.0
no_lstm,fold02,baseline,5,c0,75.3731343283582,75.3731343283582,0.0
no_lstm,fold02,baseline,5,c1,64.09412955465588,64.09412955465588,0.0
no_lstm,fold02,baseline,5,c2,70.0,70.0,0.0
no_lstm,fold02,baseline,5,c3,69.42911714770798,69.42911714770798,0.0
no_lstm,fold02,baseline,5,c4,58.599624060150376,58.599624060150376,0.0
no_attention,fold02,baseline,2,accuracy,72.64106109046921,72.64106109046921,0.0
no_attention,fold02,baseline,2,recall,74.09057740273056,74.09057740273056,0.0
no_attention,fold02,baseline,2,f1,72.07978239829231,72.07978239829231,0.0
no_attention,fold02,baseline,2,c0,79.8507462686567,79.8507462686567,0.0
no_attention,fold02,baseline,2,c1,73.86133603238866,73.86133603238866,0.0
no_attention,fold02,baseline,2,c2,72.5,72.5,0.0
no_attention,fold02,baseline,2,c3,68.89855687606112,68.89855687606112,0.0
no_attention,fold02,baseline,2,c4,89.52067669172932,89.52067669172932,0.0
no_attention,fold02,baseline,3,accuracy,72.64106109046921,72.64106109046921,0.0
no_attention,fold02,baseline,3,recall,74.09057740273056,74.09057740273056,0.0
no_attention,fold02,baseline,3,f1,72.07978239829231,72.07978239829231,0.0
no_attention,fold02,baseline,3,c0,79.8507462686567,79.8507462686567,0.0
no_attention,fold02,baseline,3,c1,73.86133603238866,73.86133603238866,0.0
no_attention,fold02,baseline,3,c2,72.5,72.5,0.0
no_attention,fold02,baseline,3,c3,68.89855687606112,68.89855687606112,0.0
no_attention,fold02,baseline,3,c4,89.52067669172932,89.52067669172932,0.0
no_attention,fold02,baseline,5,accuracy,72.64106109046921,72.64106109046921,0.0
no_attention,fold02,baseline,5,recall,74.09057740273056,74.09057740273056,0.0
no_attention,fold02,baseline,5,f1,72.07978239829231,72.07978239829231,0.0
no_attention,fold02,baseline,5,c0,79.8507462686567,79.8507462686567,0.0
no_attention,fold02,baseline,5,c1,73.86133603238866,73.86133603238866,0.0
no_attention,fold02,baseline,5,c2,72.5,72.5,0.0
no_attention,fold02,baseline,5,c3,68.89855687606112,68.89855687606112,0.0
no_attention,fold02,baseline,5,c4,89.52067669172932,89.52067669172932,0.0
full,fold02,maximum,2,accuracy,74.38434286701806,74.38434286701806,0.0
full,fold02,maximum,2,recall,74.4534596277368,74.4534596277368,0.0
full,fold02,maximum,2,f1,74.32112920544475,74.32112920544475,0.0
full,fold02,maximum,2,c0,79.1044776119403,79.1044776119403,0.0
full,fold02,maximum,2,c1,83.70445344129554,83.70445344129554,0.0
full,fold02,maximum,2,c2,85.0,85.0,0.0
full,fold02,maximum,2,c3,68.50594227504244,68.50594227504244,0.0
full,fold02,maximum,2,c4,68.04511278195488,68.04511278195488,0.0
full,fold02,maximum,3,accuracy,73.19191220945304,73.19191220945304,0.0
full,fold02,maximum,3,recall,73.27693968727975,73.27693968727975,0.0
full,fold02,maximum,3,f1,73.33249901281306,73.33249901281306,0.0
full,fold02,maximum,3,c0,78.35820895522389,78.35820895522389,0.0
full,fold02,maximum,3,c1,82.16093117408907,82.16093117408907,0.0
full,fold02,maximum,3,c2,85.0,85.0,0.0
full,fold02,maximum,3,c3,69.19567062818336,69.19567062818336,0.0
full,fold02,maximum,3,c4,70.34774436090225,70.34774436090225,0.0
full,fold02,maximum,5,accuracy,71.7208156916962,71.7208156916962,0.0
full,fold02,maximum,5,recall,70.88537610089443,70.88537610089443,0.0
full,fold02,maximum,5,f1,70.80558651837873,70.80558651837873,0.0
full,fold02,maximum,5,c0,78.35820895522389,78.35820895522389,0.0
full,fold02,maximum,5,c1,80.51619433198381,80.51619433198381,0.0
full,fold02,maximum,5,c2,85.0,85.0,0.0
full,fold02,maximum,5,c3,69.16383701188455,69.16383701188455,0.0
full,fold02,maximum,5,c4,61.560150375939855,61.560150375939855,0.0
full,fold02,attention_zero,2,accuracy,74.69109133327572,74.69109133327572,0.0
full,fold02,attention_zero,2,recall,74.65802888670513,74.65802888670513,0.0
full,fold02,attention_zero,2,f1,74.67251260584763,74.67251260584763,0.0
full,fold02,attention_zero,2,c0,78.35820895522389,78.35820895522389,0.0
full,fold02,attention_zero,2,c1,84.6912955465587,84.6912955465587,0.0
full,fold02,attention_zero,2,c2,85.0,85.0,0.0
full,fold02,attention_zero,2,c3,69.49278438030561,69.49278438030561,0.0
full,fold02,attention_zero,2,c4,69.03195488721803,69.03195488721803,0.0
full,fold02,attention_zero,3,accuracy,73.89613756156571,73.89613756156571,0.0
full,fold02,attention_zero,3,recall,73.81457409588191,73.81457409588191,0.0
full,fold02,attention_zero,3,f1,73.93354624417805,73.93354624417805,0.0
full,fold02,attention_zero,3,c0,78.35820895522389,78.35820895522389,0.0
full,fold02,attention_zero,3,c1,82.16093117408907,82.16093117408907,0.0
full,fold02,attention_zero,3,c2,85.0,85.0,0.0
full,fold02,attention_zero,3,c3,70.80857385398981,70.80857385398981,0.0
full,fold02,attention_zero,3,c4,70.34774436090225,70.34774436090225,0.0
full,fold02,attention_zero,5,accuracy,72.27166681068003,72.27166681068003,0.0
full,fold02,attention_zero,5,recall,71.96620316856362,71.96620316856362,0.0
full,fold02,attention_zero,5,f1,71.77330363659533,71.77330363659533,0.0
full,fold02,attention_zero,5,c0,78.35820895522389,78.35820895522389,0.0
full,fold02,attention_zero,5,c1,80.18724696356276,80.18724696356276,0.0
full,fold02,attention_zero,5,c2,85.0,85.0,0.0
full,fold02,attention_zero,5,c3,68.8348896434635,68.8348896434635,0.0
full,fold02,attention_zero,5,c4,64.80263157894737,64.80263157894737,0.0
full,fold02,attention_shuffle,2,accuracy,74.04951179469455,74.04951179469455,0.0
full,fold02,attention_shuffle,2,recall,74.02761445111241,74.02761445111241,0.0
full,fold02,attention_shuffle,2,f1,74.09346773480019,74.09346773480019,0.0
full,fold02,attention_shuffle,2,c0,78.35820895522389,78.35820895522389,0.0
full,fold02,attention_shuffle,2,c1,84.41295546558703,84.41295546558703,0.0
full,fold02,attention_shuffle,2,c2,85.0,85.0,0.0
full,fold02,attention_shuffle,2,c3,69.5246179966044,69.5246179966044,0.0
full,fold02,attention_shuffle,2,c4,70.6766917293233,70.6766917293233,0.0
full,fold02,attention_shuffle,3,accuracy,73.19191220945304,73.19191220945304,0.0
full,fold02,attention_shuffle,3,recall,73.27693968727975,73.27693968727975,0.0
full,fold02,attention_shuffle,3,f1,73.119982715551,73.119982715551,0.0
full,fold02,attention_shuffle,3,c0,78.35820895522389,78.35820895522389,0.0
full,fold02,attention_shuffle,3,c1,82.16093117408907,82.16093117408907,0.0
full,fold02,attention_shuffle,3,c2,85.0,85.0,0.0
full,fold02,attention_shuffle,3,c3,69.19567062818336,69.19567062818336,0.0
full,fold02,attention_shuffle,3,c4,70.34774436090225,70.34774436090225,0.0
full,fold02,attention_shuffle,5,accuracy,74.11215760822606,74.11215760822606,0.0
full,fold02,attention_shuffle,5,recall,73.28199264224781,73.28199264224781,0.0
full,fold02,attention_shuffle,5,f1,73.5029161356894,73.5029161356894,0.0
full,fold02,attention_shuffle,5,c0,78.35820895522389,78.35820895522389,0.0
full,fold02,attention_shuffle,5,c1,84.13461538461539,84.13461538461539,0.0
full,fold02,attention_shuffle,5,c2,85.0,85.0,0.0
full,fold02,attention_shuffle,5,c3,72.78225806451613,72.78225806451613,0.0
full,fold02,attention_shuffle,5,c4,68.75,68.75,0.0
full,fold03,baseline,2,accuracy,75.12313142659639,75.12313142659639,0.0
full,fold03,baseline,2,recall,70.22327737513481,70.22327737513481,0.0
full,fold03,baseline,2,f1,71.50789354715904,71.50789354715904,0.0
full,fold03,baseline,2,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,baseline,2,c1,82.86943319838058,82.86943319838058,0.0
full,fold03,baseline,2,c2,70.0,70.0,0.0
full,fold03,baseline,2,c3,81.5046689303905,81.5046689303905,0.0
full,fold03,baseline,2,c4,58.693609022556394,58.6936090225564,7.105427357601002e-15
full,fold03,baseline,3,accuracy,75.12313142659639,75.12313142659639,0.0
full,fold03,baseline,3,recall,70.22327737513481,70.22327737513481,0.0
full,fold03,baseline,3,f1,71.50789354715904,71.50789354715904,0.0
full,fold03,baseline,3,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,baseline,3,c1,82.86943319838058,82.86943319838058,0.0
full,fold03,baseline,3,c2,70.0,70.0,0.0
full,fold03,baseline,3,c3,81.5046689303905,81.5046689303905,0.0
full,fold03,baseline,3,c4,58.693609022556394,58.6936090225564,7.105427357601002e-15
full,fold03,baseline,5,accuracy,75.12313142659639,75.12313142659639,0.0
full,fold03,baseline,5,recall,70.22327737513481,70.22327737513481,0.0
full,fold03,baseline,5,f1,71.50789354715904,71.50789354715904,0.0
full,fold03,baseline,5,c0,82.83582089552239,82.83582089552239,0.0
full,fold03,baseline,5,c1,82.86943319838058,82.86943319838058,0.0
full,fold03,baseline,5,c2,70.0,70.0,0.0
full,fold03,baseline,5,c3,81.5046689303905,81.5046689303905,0.0
full,fold03,baseline,5,c4,58.693609022556394,58.6936090225564,7.105427357601002e-15
no_conv,fold03,baseline,2,accuracy,66.26846971398946,66.26846971398946,0.0
no_conv,fold03,baseline,2,recall,65.82789760687412,65.82789760687412,0.0
no_conv,fold03,baseline,2,f1,63.46786771201124,63.46786771201124,0.0
no_conv,fold03,baseline,2,c0,80.59701492537313,80.59701492537313,0.0
no_conv,fold03,baseline,2,c1,76.56882591093117,76.56882591093117,0.0
no_conv,fold03,baseline,2,c2,87.5,87.5,0.0
no_conv,fold03,baseline,2,c3,58.76485568760611,58.76485568760611,0.0
no_conv,fold03,baseline,2,c4,50.46992481203007,50.46992481203007,0.0
no_conv,fold03,baseline,3,accuracy,66.26846971398946,66.26846971398946,0.0
no_conv,fold03,baseline,3,recall,65.82789760687412,65.82789760687412,0.0
no_conv,fold03,baseline,3,f1,63.46786771201124,63.46786771201124,0.0
no_conv,fold03,baseline,3,c0,80.59701492537313,80.59701492537313,0.0
no_conv,fold03,baseline,3,c1,76.56882591093117,76.56882591093117,0.0
no_conv,fold03,baseline,3,c2,87.5,87.5,0.0
no_conv,fold03,baseline,3,c3,58.76485568760611,58.76485568760611,0.0
no_conv,fold03,baseline,3,c4,50.46992481203007,50.46992481203007,0.0
no_conv,fold03,baseline,5,accuracy,66.26846971398946,66.26846971398946,0.0
no_conv,fold03,baseline,5,recall,65.82789760687412,65.82789760687412,0.0
