condition,target_raw_label,drop_accuracy_mean,drop_recall_mean,drop_f1_mean,drop_c0_mean,drop_c1_mean,drop_c2_mean,drop_c3_mean,drop_c4_mean,drop_accuracy_sd,drop_recall_sd,drop_f1_sd,drop_c0_sd,drop_c1_sd,drop_c2_sd,drop_c3_sd,drop_c4_sd
Ablate L1,1,0.8509226353453366,0.6738333787475549,0.5094994981351088,0.0,0.9462313190383375,0.0,1.4042161856253539,0.3289473684210525,1.3495855948615283,0.6294103944699445,0.6936489903226374,0.0,2.4929363883914086,0.0,2.787463558453162,3.242481203007518
Ablate L2,2,1.5037892764154936,1.032019079391868,1.3805307338573698,-0.24875621890546995,3.220435347628334,0.0,3.8377192982456165,3.8377192982456165,1.7491630694514257,1.5016928077486997,1.574306637990499,0.4308584098429996,4.297874559863976,0.0,2.1148356932002077,2.1148356932002077
Ablate L3,3,0.4150985211427667,0.21953405017921548,0.33345171043733046,0.0,0.0,-0.8333333333333334,1.0752688172043037,0.0,0.49233613598897497,0.5509659826944086,0.5752934735910744,0.0,0.0,1.4433756729740643,0.9312101115961728,0.0
Ablate L4,4,0.585732704618844,0.37903400476499866,0.580552998158069,0.0,1.137102014294996,0.0,1.7543859649122737,1.7543859649122762,0.5885957284525376,0.47509991647804317,0.29515473937744396,0.0,1.4252997494341437,0.0,0.8278327231656505,0.8278327231656473
Ablate L5,5,1.7730212336181854,1.9580200501253178,2.259535393258872,0.0,2.302631578947365,0.0,2.30263157894737,5.874060150375937,0.7389182400551122,1.1708370514331998,1.2511239517287027,0.0,0.8703129312712448,0.0,0.8703129312712421,3.5125111542995895
