Method,Acc,Recall,F1
Our Proposed,74.70 ± 0.70,71.85 ± 1.82,72.80 ± 1.22
Ablate L1,73.85 ± 0.65,71.18 ± 2.31,72.30 ± 1.68
Ablate L2,73.20 ± 1.06,70.82 ± 3.32,71.42 ± 2.74
Ablate L3,74.29 ± 1.05,71.63 ± 1.43,72.47 ± 0.77
Ablate L4,74.12 ± 1.27,71.47 ± 1.52,72.22 ± 1.02
Ablate L5,72.93 ± 1.24,69.89 ± 0.87,70.55 ± 0.35
