Method,Hole Exploration,Wrong Hole Exploration,Hesitating,Changing Direction,Walking
Our Proposed,81.59 ± 2.83,82.41 ± 0.40,72.80 ± 11.06,75.88 ± 5.37,65.16 ± 5.93
Ablate L1,81.59 ± 2.83,81.79 ± 2.01,72.80 ± 11.06,75.34 ± 5.53,65.16 ± 5.93
Ablate L2,81.59 ± 2.83,81.75 ± 1.80,72.80 ± 11.06,75.22 ± 5.24,64.51 ± 6.05
Ablate L3,81.59 ± 2.83,82.41 ± 0.40,73.64 ± 10.84,75.88 ± 5.37,65.16 ± 5.93
Ablate L4,81.59 ± 2.83,81.64 ± 1.08,72.80 ± 11.06,75.11 ± 6.04,64.40 ± 5.25
Ablate L5,81.59 ± 2.83,81.64 ± 1.08,72.80 ± 11.06,75.11 ± 6.04,64.40 ± 5.25
