condition,target_raw_label,drop_accuracy_mean,drop_accuracy_sd,drop_recall_mean,drop_recall_sd,drop_f1_mean,drop_f1_sd,drop_c0_mean,drop_c0_sd,drop_c1_mean,drop_c1_sd,drop_c2_mean,drop_c2_sd,drop_c3_mean,drop_c3_sd,drop_c4_mean,drop_c4_sd,drop_true_probability_mean,drop_true_probability_sd,drop_logit_margin_mean,drop_logit_margin_sd
Ablate L1,1,0.46296296296296663,1.0672101300983632,0.38497278640648364,0.9249464910323383,0.3150538765826478,0.7595236988304036,0.0,0.0,0.6172839506172872,2.2003052695342187,0.0,0.0,0.5376344086021542,0.9312101115961771,0.0,0.0,0.1851727565129598,0.4800078631982208,0.011942903200785318,0.07690485578268276
Ablate L2,2,0.3062794319055892,0.7919923433365541,0.21929824561403657,0.7022995812471745,0.36760522306705923,0.6866987808251581,0.0,0.0,0.6578947368421098,2.106898743741513,0.0,0.0,0.6578947368421098,0.3289473684210549,0.657894736842105,0.32894736842104777,0.4184861977895101,0.593644617486558,0.056930224100748696,0.11766546654572348
Ablate L3,3,-0.05112474437627649,0.08855065478368211,-0.13888888888889048,0.24056261216234678,-0.10896603248181218,0.18873470455769928,0.0,0.0,0.0,0.0,-0.8333333333333334,1.4433756729740643,0.0,0.0,0.0,0.0,0.18745362758636475,0.2187044795384103,0.03811204433441162,0.04032540054985126
Ablate L4,4,0.35740417628187043,0.31904956421471464,0.2558479532163697,0.2282528508186523,0.38739421060813584,0.356801312106178,0.0,0.0,0.7675438596491185,0.6847585524559614,0.0,0.0,0.7675438596491233,0.6847585524559637,0.7675438596491233,0.6847585524559671,0.44545233249664307,0.4386912722370045,0.07445601622263591,0.06510468507184122
Ablate L5,5,0.35740417628187043,0.31904956421471464,0.2558479532163697,0.2282528508186523,0.38890894817775273,0.33681952592194764,0.0,0.0,0.7675438596491185,0.6847585524559614,0.0,0.0,0.7675438596491233,0.6847585524559637,0.7675438596491233,0.6847585524559671,0.40599505106608075,0.13220468541229655,0.052831172943115234,0.06741881833459246
