condition,display_name,target_raw_label,fold,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,true_probability,logit_margin,run1_accuracy,run2_accuracy,run1_affected_windows,run2_affected_windows,run1_confusion_matrix,run2_confusion_matrix,run1_critical_time_bins,run2_critical_time_bins,run1_random_repeats,run2_random_repeats,run1_reset_events,run2_reset_events,run1_swap_variants,run2_swap_variants
baseline,Our Proposed,,fold01,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.20146361329182,76.55756381566982,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,70.51322162151337,3.8527332544326782,80.73394495412845,69.44444444444444,0,0,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",,,,,,,,
ablate_l1,Ablate L1,1.0,fold01,73.70030581039755,70.3642278917869,72.05947681614231,57.29018417538009,83.8098768853801,76.51778734737968,83.5820895522388,80.33625730994152,63.41463414634146,73.70543293718166,66.44736842105263,70.11359930038452,3.828526496887207,80.73394495412845,66.66666666666666,7,10,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[21, 5, 1], [9, 20, 2], [2, 5, 7]]",974.0,2119.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold01,74.63047910295617,71.19019888258529,72.24210145526519,58.938046448316285,84.0504744063746,76.60276617614812,83.5820895522388,81.20126705653021,63.41463414634146,74.33149405772495,65.46052631578948,70.19005119800568,3.8005435466766357,79.81651376146789,69.44444444444444,72,10,"[[112, 20, 2], [26, 123, 3], [5, 10, 26]]","[[22, 3, 2], [7, 21, 3], [2, 5, 7]]",18944.0,2156.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l3,Ablate L3,3.0,fold01,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.02575740625299,76.41245515500414,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,70.18728256225586,3.8136707544326782,80.73394495412845,69.44444444444444,0,1,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",0.0,200.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l4,Ablate L4,4.0,fold01,74.63047910295617,71.19019888258529,72.27071764892375,58.9143986700766,83.90116876644603,75.99709356849823,83.5820895522388,81.20126705653021,63.41463414634146,74.33149405772495,65.46052631578948,69.86494660377502,3.7342947721481323,79.81651376146789,69.44444444444444,37,1,"[[112, 20, 2], [25, 123, 4], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",6494.0,126.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l5,Ablate L5,5.0,fold01,74.63047910295617,71.19019888258529,72.38677618439345,58.899682229949214,84.27336242410354,76.57040998824111,83.5820895522388,81.20126705653021,63.41463414634146,74.33149405772495,65.46052631578948,70.22473514080048,3.8336780071258545,79.81651376146789,69.44444444444444,51,4,"[[112, 20, 2], [26, 123, 3], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",12095.0,809.0,20.0,20.0,0.0,0.0,0.0,0.0
baseline,Our Proposed,,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.52355927498368,73.08977594022288,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,72.01038002967834,3.8167110681533813,81.59509202453987,66.19718309859155,0,0,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[21, 5, 0], [10, 18, 3], [2, 4, 8]]",,,,,,,,
ablate_l1,Ablate L1,1.0,fold02,74.60036291367838,74.45559973690754,74.47284989000605,59.492245096433564,83.77273214512431,73.55153144695467,78.35820895522389,84.08400809716599,85.0,70.80857385398981,70.34774436090225,72.37505614757538,3.887068033218384,81.59509202453987,67.6056338028169,2,8,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[22, 4, 0], [10, 18, 3], [2, 4, 8]]",270.0,1470.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold02,74.44698868054955,74.34595061410053,74.35798586135061,59.233708473793484,83.67378438248087,73.08243205390814,78.35820895522389,83.75506072874494,85.0,70.47962648556876,70.0187969924812,72.13211357593536,3.8750044107437134,81.28834355828221,67.6056338028169,39,8,"[[105, 27, 2], [21, 126, 5], [2, 4, 34]]","[[22, 4, 0], [10, 18, 3], [2, 4, 8]]",9657.0,1486.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l3,Ablate L3,3.0,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.28928478865282,72.8349034824702,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,71.70928120613098,3.7387572526931763,81.59509202453987,66.19718309859155,1,1,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[21, 5, 0], [10, 18, 3], [2, 4, 8]]",108.0,138.0,20.0,20.0,0.0,0.0,0.0,0.0
