Method,Acc,Recall,F1
Our Proposed,74.70 ± 0.70,71.85 ± 1.82,72.80 ± 1.22
Ablate L1,74.24 ± 0.48,71.47 ± 2.62,72.49 ± 1.81
Ablate L2,74.40 ± 0.26,71.63 ± 2.52,72.44 ± 1.83
Ablate L3,74.75 ± 0.75,71.99 ± 1.64,72.91 ± 1.05
Ablate L4,74.35 ± 0.95,71.60 ± 1.62,72.42 ± 0.99
Ablate L5,74.35 ± 0.95,71.60 ± 1.62,72.42 ± 0.92
