Method,Acc,Recall,F1
Our Proposed,74.70 ± 0.70,71.85 ± 1.82,72.80 ± 1.22
Ablate L1,74.71 ± 0.38,71.89 ± 2.26,72.86 ± 1.50
Ablate L2,74.91 ± 0.75,72.06 ± 2.01,72.95 ± 1.41
Ablate L3,74.52 ± 0.70,71.81 ± 1.74,72.67 ± 1.11
Ablate L4,74.40 ± 0.92,71.63 ± 1.65,72.53 ± 0.99
Ablate L5,74.29 ± 1.01,71.56 ± 1.59,72.46 ± 0.95
