Method,Hole Exploration,Wrong Hole Exploration,Hesitating,Changing Direction,Walking
Our Proposed,81.59 ± 2.83,82.41 ± 0.40,72.80 ± 11.06,75.88 ± 5.37,65.16 ± 5.93
Ablate L1,81.59 ± 2.83,83.05 ± 0.96,72.80 ± 11.06,75.34 ± 5.53,65.16 ± 5.93
Ablate L2,81.59 ± 2.83,82.50 ± 0.62,72.80 ± 11.06,75.87 ± 5.71,64.61 ± 5.65
Ablate L3,81.59 ± 2.83,82.41 ± 0.40,73.64 ± 10.84,75.34 ± 5.53,65.16 ± 5.93
Ablate L4,81.59 ± 2.83,81.75 ± 1.26,72.80 ± 11.06,75.22 ± 6.10,64.51 ± 5.20
Ablate L5,81.59 ± 2.83,81.53 ± 1.01,72.80 ± 11.06,75.00 ± 6.01,64.29 ± 5.33
