condition,target_raw_label,drop_accuracy_mean,drop_accuracy_sd,drop_recall_mean,drop_recall_sd,drop_f1_mean,drop_f1_sd,drop_c0_mean,drop_c0_sd,drop_c1_mean,drop_c1_sd,drop_c2_mean,drop_c2_sd,drop_c3_mean,drop_c3_sd,drop_c4_mean,drop_c4_sd,drop_true_probability_mean,drop_true_probability_sd,drop_logit_margin_mean,drop_logit_margin_sd
Ablate L1,1,-0.0032603025560717924,0.6993405980849806,-0.03446374414115875,0.5900853246712029,-0.055160223436705756,0.4590556004884666,0.0,0.0,-0.64102564102564,1.1102889792108168,0.0,0.0,0.5376344086021542,0.9312101115961771,0.0,0.0,-0.06041030089060465,0.2883040402674166,-0.011813640594482422,0.056509246522063274
Ablate L2,2,-0.21075588842167292,0.3486548304131909,-0.210138145197566,0.28294262936161324,-0.1469304318190865,0.23938046460338494,0.0,0.0,-0.09278002699055794,0.7304532757965909,0.0,0.0,0.010611205432941992,1.1683896102292664,0.5482456140350891,0.3798357034142198,0.123557448387146,0.3795959335080984,0.007569114367167155,0.08752641017748698
Ablate L3,3,0.1803567371052092,0.4517693459885888,0.04032258064516251,0.47842665942360035,0.1331026333156681,0.5390216061418598,0.0,0.0,0.0,0.0,-0.8333333333333334,1.4433756729740643,0.5376344086021542,0.9312101115961771,0.0,0.0,0.1960277557373047,0.23171146653310568,0.039145429929097496,0.03892009049200554
Ablate L4,4,0.30612308712157227,0.40508179265391914,0.21929824561404132,0.2901043104237492,0.2703170718123052,0.35180200415403856,0.0,0.0,0.6578947368421003,0.8703129312712421,0.0,0.0,0.6578947368421098,0.8703129312712421,0.6578947368421026,0.8703129312712408,0.4901339610417684,0.44272536212376723,0.07404132684071858,0.06692123086046227
Ablate L5,5,0.4086852654421733,0.3194245613345349,0.29239766081871704,0.22825285081866026,0.3447956658074626,0.30906855340966777,0.0,0.0,0.8771929824561369,0.6847585524559637,0.0,0.0,0.8771929824561463,0.6847585524559557,0.877192982456144,0.6847585524559586,0.3867119550704956,0.4641091386134243,0.05107597510019938,0.1091372051739742
