condition,display_name,target_raw_label,fold,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,true_probability,logit_margin,run1_accuracy,run2_accuracy,run1_affected_windows,run2_affected_windows,run1_confusion_matrix,run2_confusion_matrix,run1_critical_time_bins,run2_critical_time_bins,run1_random_repeats,run2_random_repeats,run1_reset_events,run2_reset_events,run1_swap_variants,run2_swap_variants
baseline,Our Proposed,,fold01,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.20146361329182,76.55756381566982,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,70.51322162151337,3.8527332544326782,80.73394495412845,69.44444444444444,0,0,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",,,,,,,,
ablate_l1,Ablate L1,1.0,fold01,74.394750254842,70.98151184240417,72.59944162118076,58.49081838440189,84.13663339789403,76.84065165772918,83.5820895522388,82.18810916179336,63.41463414634146,73.70543293718166,66.44736842105263,70.5798327922821,3.871512770652771,80.73394495412845,68.05555555555556,7,10,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[22, 4, 1], [9, 20, 2], [2, 5, 7]]",974.0,2119.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold01,75.63073394495413,71.94713153680146,73.33213434281632,60.35679881748341,84.0024380874193,76.54507488833903,83.5820895522388,81.85916179337232,63.41463414634146,76.60229202037351,66.11842105263158,70.55353820323944,3.864511489868164,80.42813455657493,70.83333333333334,72,10,"[[112, 20, 2], [25, 125, 2], [5, 10, 26]]","[[22, 4, 1], [6, 22, 3], [2, 5, 7]]",18944.0,2156.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l3,Ablate L3,3.0,fold01,74.394750254842,70.98151184240417,72.2470585993062,58.64949431035018,84.03947482737783,76.41993738470859,83.5820895522388,82.18810916179336,63.41463414634146,73.70543293718166,66.44736842105263,70.12174129486084,3.807105302810669,80.73394495412845,68.05555555555556,0,1,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[22, 3, 2], [8, 20, 3], [2, 5, 7]]",0.0,200.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l4,Ablate L4,4.0,fold01,74.47757390417941,71.08054975977826,72.39426734202505,58.63671503755071,83.84458595741964,76.01326420370653,83.5820895522388,80.87231968810917,63.41463414634146,74.0025466893039,65.13157894736842,69.73905563354492,3.732022285461426,79.51070336391437,69.44444444444444,37,1,"[[112, 20, 2], [28, 122, 2], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",6494.0,126.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l5,Ablate L5,5.0,fold01,74.78338430173292,71.29984800539229,72.74721277908121,59.12406037524191,84.29228248129934,76.75155563761679,83.5820895522388,81.53021442495127,63.41463414634146,74.66044142614601,65.78947368421052,70.33655643463135,3.8447924852371216,80.1223241590214,69.44444444444444,51,4,"[[112, 20, 2], [27, 124, 1], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",12095.0,809.0,20.0,20.0,0.0,0.0,0.0,0.0
baseline,Our Proposed,,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.52355927498368,73.08977594022288,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,72.01038002967834,3.8167110681533813,81.59509202453987,66.19718309859155,0,0,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[21, 5, 0], [10, 18, 3], [2, 4, 8]]",,,,,,,,
ablate_l1,Ablate L1,1.0,fold02,74.60036291367838,74.45559973690754,74.47284989000605,59.492245096433564,83.8517689983547,73.74585888909823,78.35820895522389,84.08400809716599,85.0,70.80857385398981,70.34774436090225,72.35594391822815,3.8812280893325806,81.59509202453987,67.6056338028169,2,8,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[22, 4, 0], [10, 18, 3], [2, 4, 8]]",270.0,1470.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold02,74.14024021429188,74.12665236848649,74.12817647620588,58.72058124031791,83.83859145215436,73.38119714127195,78.35820895522389,83.09716599190284,85.0,69.82173174872666,69.3609022556391,72.15695381164551,3.8853759765625,80.67484662576688,67.6056338028169,39,8,"[[105, 27, 2], [23, 124, 5], [2, 4, 34]]","[[22, 4, 0], [10, 18, 3], [2, 4, 8]]",9657.0,1486.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l3,Ablate L3,3.0,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.28139279405045,72.83016094836664,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,71.75384163856506,3.7422938346862793,81.59509202453987,66.19718309859155,1,1,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[21, 5, 0], [10, 18, 3], [2, 4, 8]]",108.0,138.0,20.0,20.0,0.0,0.0,0.0,0.0
