comparison_id,comparison_label,comparison_family,target_label,intervention_condition,baseline_architecture,intervention_architecture,stage,fold,scope,class_id,class_label,n,CC,CW,WC,WW,baseline_correct_n,baseline_wrong_n,damage_rate_percent,recovery_rate_percent,net_correct_change,baseline_accuracy_percent,intervention_accuracy_percent,accuracy_delta_pp,discordant_n,mcnemar_exact_p,mcnemar_bh_q
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run1,fold02,overall,-1,All stage samples,326,212,54,30,30,266,60,20.30075187969925,50.0,-24,81.59509202453988,74.23312883435582,-7.361963190184049,84,0.011634454119925825,0.3257647153579231
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run1,fold02,true_class,0,L1 Hole exploration,134,87,18,14,15,105,29,17.142857142857142,48.275862068965516,-4,78.35820895522389,75.3731343283582,-2.985074626865672,32,0.5966148958541453,1.0
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run1,fold02,true_class,1,Gate: L2/L4/L5,152,99,28,14,11,127,25,22.04724409448819,56.0,-14,83.55263157894737,74.34210526315789,-9.210526315789474,42,0.04355852192384191,0.542061606163366
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run1,fold02,true_class,2,L3 Hesitating,40,26,8,2,4,34,6,23.529411764705884,33.333333333333336,-6,85.0,70.0,-15.0,10,0.109375,0.881473321467638
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run1,fold02,overall,-1,All stage samples,326,232,34,35,25,266,60,12.781954887218046,58.333333333333336,1,81.59509202453988,81.90184049079754,0.3067484662576687,69,1.0,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run1,fold02,true_class,0,L1 Hole exploration,134,87,18,20,9,105,29,17.142857142857142,68.96551724137932,2,78.35820895522389,79.85074626865672,1.492537313432836,38,0.8714146793645341,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run1,fold02,true_class,1,Gate: L2/L4/L5,152,116,11,15,10,127,25,8.661417322834646,60.0,4,83.55263157894737,86.1842105263158,2.6315789473684212,26,0.557197093963623,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run1,fold02,true_class,2,L3 Hesitating,40,29,5,0,6,34,6,14.705882352941176,0.0,-5,85.0,72.5,-12.5,5,0.0625,0.675
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run2,fold02,overall,-1,All stage samples,71,46,1,2,22,47,24,2.127659574468085,8.333333333333334,1,66.19718309859155,67.6056338028169,1.408450704225352,3,1.0,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run2,fold02,true_class,0,L2 Wrong hole,26,21,0,1,4,21,5,0.0,20.0,1,80.76923076923077,84.61538461538461,3.8461538461538463,1,1.0,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run2,fold02,true_class,1,L4 Changing direction,31,18,0,1,12,18,13,0.0,7.6923076923076925,1,58.064516129032256,61.29032258064516,3.225806451612903,1,1.0,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run2,fold02,true_class,2,L5 Walking,14,7,1,0,6,8,6,12.5,0.0,-1,57.142857142857146,50.0,-7.142857142857143,1,1.0,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run2,fold02,overall,-1,All stage samples,71,47,0,2,22,47,24,0.0,8.333333333333334,2,66.19718309859155,69.01408450704226,2.816901408450704,2,0.5,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run2,fold02,true_class,0,L2 Wrong hole,26,21,0,2,3,21,5,0.0,40.0,2,80.76923076923077,88.46153846153847,7.6923076923076925,2,0.5,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run2,fold02,true_class,1,L4 Changing direction,31,18,0,0,13,18,13,0.0,0.0,0,58.064516129032256,58.064516129032256,0.0,0,1.0,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run2,fold02,true_class,2,L5 Walking,14,8,0,0,6,8,6,0.0,0.0,0,57.142857142857146,57.142857142857146,0.0,0,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run2,fold02,overall,-1,All stage samples,71,46,1,0,24,47,24,2.127659574468085,0.0,-1,66.19718309859155,64.78873239436619,-1.408450704225352,1,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run2,fold02,true_class,0,L2 Wrong hole,26,21,0,0,5,21,5,0.0,0.0,0,80.76923076923077,80.76923076923077,0.0,0,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run2,fold02,true_class,1,L4 Changing direction,31,17,1,0,13,18,13,5.555555555555555,0.0,-1,58.064516129032256,54.83870967741935,-3.225806451612903,1,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run2,fold02,true_class,2,L5 Walking,14,8,0,0,6,8,6,0.0,0.0,0,57.142857142857146,57.142857142857146,0.0,0,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run2,fold02,overall,-1,All stage samples,71,47,0,0,24,47,24,0.0,0.0,0,66.19718309859155,66.19718309859155,0.0,0,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run2,fold02,true_class,0,L2 Wrong hole,26,21,0,0,5,21,5,0.0,0.0,0,80.76923076923077,80.76923076923077,0.0,0,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run2,fold02,true_class,1,L4 Changing direction,31,18,0,0,13,18,13,0.0,0.0,0,58.064516129032256,58.064516129032256,0.0,0,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run2,fold02,true_class,2,L5 Walking,14,8,0,0,6,8,6,0.0,0.0,0,57.142857142857146,57.142857142857146,0.0,0,1.0,1.0
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run2,fold02,overall,-1,All stage samples,71,45,2,0,24,47,24,4.25531914893617,0.0,-2,66.19718309859155,63.38028169014085,-2.816901408450704,2,0.5,1.0
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run2,fold02,true_class,0,L2 Wrong hole,26,21,0,0,5,21,5,0.0,0.0,0,80.76923076923077,80.76923076923077,0.0,0,1.0,1.0
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run2,fold02,true_class,1,L4 Changing direction,31,18,0,0,13,18,13,0.0,0.0,0,58.064516129032256,58.064516129032256,0.0,0,1.0,1.0
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run2,fold02,true_class,2,L5 Walking,14,6,2,0,6,8,6,25.0,0.0,-2,57.142857142857146,42.857142857142854,-14.285714285714286,2,0.5,1.0
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run2,fold02,overall,-1,All stage samples,71,47,0,2,22,47,24,0.0,8.333333333333334,2,66.19718309859155,69.01408450704226,2.816901408450704,2,0.5,1.0
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run2,fold02,true_class,0,L2 Wrong hole,26,21,0,2,3,21,5,0.0,40.0,2,80.76923076923077,88.46153846153847,7.6923076923076925,2,0.5,1.0
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run2,fold02,true_class,1,L4 Changing direction,31,18,0,0,13,18,13,0.0,0.0,0,58.064516129032256,58.064516129032256,0.0,0,1.0,1.0
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run2,fold02,true_class,2,L5 Walking,14,8,0,0,6,8,6,0.0,0.0,0,57.142857142857146,57.142857142857146,0.0,0,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run2,fold02,overall,-1,All stage samples,71,47,0,0,24,47,24,0.0,0.0,0,66.19718309859155,66.19718309859155,0.0,0,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run2,fold02,true_class,0,L2 Wrong hole,26,21,0,0,5,21,5,0.0,0.0,0,80.76923076923077,80.76923076923077,0.0,0,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run2,fold02,true_class,1,L4 Changing direction,31,18,0,0,13,18,13,0.0,0.0,0,58.064516129032256,58.064516129032256,0.0,0,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run2,fold02,true_class,2,L5 Walking,14,8,0,0,6,8,6,0.0,0.0,0,57.142857142857146,57.142857142857146,0.0,0,1.0,1.0
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run2,fold02,overall,-1,All stage samples,71,46,1,0,24,47,24,2.127659574468085,0.0,-1,66.19718309859155,64.78873239436619,-1.408450704225352,1,1.0,1.0
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run2,fold02,true_class,0,L2 Wrong hole,26,21,0,0,5,21,5,0.0,0.0,0,80.76923076923077,80.76923076923077,0.0,0,1.0,1.0
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run2,fold02,true_class,1,L4 Changing direction,31,18,0,0,13,18,13,0.0,0.0,0,58.064516129032256,58.064516129032256,0.0,0,1.0,1.0
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run2,fold02,true_class,2,L5 Walking,14,7,1,0,6,8,6,12.5,0.0,-1,57.142857142857146,50.0,-7.142857142857143,1,1.0,1.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run2,fold02,overall,-1,All stage samples,71,46,1,1,23,47,24,2.127659574468085,4.166666666666667,0,66.19718309859155,66.19718309859155,0.0,2,1.0,1.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run2,fold02,true_class,0,L2 Wrong hole,26,21,0,1,4,21,5,0.0,20.0,1,80.76923076923077,84.61538461538461,3.8461538461538463,1,1.0,1.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run2,fold02,true_class,1,L4 Changing direction,31,17,1,0,13,18,13,5.555555555555555,0.0,-1,58.064516129032256,54.83870967741935,-3.225806451612903,1,1.0,1.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run2,fold02,true_class,2,L5 Walking,14,8,0,0,6,8,6,0.0,0.0,0,57.142857142857146,57.142857142857146,0.0,0,1.0,1.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run2,fold02,overall,-1,All stage samples,71,46,1,0,24,47,24,2.127659574468085,0.0,-1,66.19718309859155,64.78873239436619,-1.408450704225352,1,1.0,1.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run2,fold02,true_class,0,L2 Wrong hole,26,21,0,0,5,21,5,0.0,0.0,0,80.76923076923077,80.76923076923077,0.0,0,1.0,1.0
