comparison_id,comparison_label,comparison_family,stage,true_class,true_label,transition,other_class,other_label,count,within_transition_percent
structure_no_conv,Full vs NoConv,structural_ablation,run1,2,L3 Hesitating,CW_damage,1,Gate: L2/L4/L5,5,62.5
structure_no_conv,Full vs NoConv,structural_ablation,run1,2,L3 Hesitating,WC_recovery,0,L1 Hole exploration,7,46.666666666666664
structure_no_conv,Full vs NoConv,structural_ablation,run1,2,L3 Hesitating,WC_recovery,1,Gate: L2/L4/L5,8,53.333333333333336
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,0,L1 Hole exploration,CW_damage,1,Gate: L2/L4/L5,47,88.67924528301887
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,0,L1 Hole exploration,CW_damage,2,L3 Hesitating,6,11.320754716981131
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,0,L1 Hole exploration,WC_recovery,1,Gate: L2/L4/L5,28,87.5
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,0,L1 Hole exploration,WC_recovery,2,L3 Hesitating,4,12.5
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,1,Gate: L2/L4/L5,CW_damage,0,L1 Hole exploration,58,79.45205479452055
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,1,Gate: L2/L4/L5,CW_damage,2,L3 Hesitating,15,20.54794520547945
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,1,Gate: L2/L4/L5,WC_recovery,0,L1 Hole exploration,29,82.85714285714286
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,1,Gate: L2/L4/L5,WC_recovery,2,L3 Hesitating,6,17.142857142857142
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,2,L3 Hesitating,CW_damage,0,L1 Hole exploration,5,33.333333333333336
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,2,L3 Hesitating,CW_damage,1,Gate: L2/L4/L5,10,66.66666666666667
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,2,L3 Hesitating,WC_recovery,0,L1 Hole exploration,6,50.0
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,2,L3 Hesitating,WC_recovery,1,Gate: L2/L4/L5,6,50.0
structure_no_attention,Full vs NoAttention,structural_ablation,run1,0,L1 Hole exploration,CW_damage,1,Gate: L2/L4/L5,33,94.28571428571429
structure_no_attention,Full vs NoAttention,structural_ablation,run1,0,L1 Hole exploration,CW_damage,2,L3 Hesitating,2,5.714285714285714
structure_no_attention,Full vs NoAttention,structural_ablation,run1,0,L1 Hole exploration,WC_recovery,1,Gate: L2/L4/L5,37,92.5
structure_no_attention,Full vs NoAttention,structural_ablation,run1,0,L1 Hole exploration,WC_recovery,2,L3 Hesitating,3,7.5
structure_no_attention,Full vs NoAttention,structural_ablation,run1,1,Gate: L2/L4/L5,CW_damage,0,L1 Hole exploration,40,83.33333333333333
structure_no_attention,Full vs NoAttention,structural_ablation,run1,1,Gate: L2/L4/L5,CW_damage,2,L3 Hesitating,8,16.666666666666668
structure_no_attention,Full vs NoAttention,structural_ablation,run1,1,Gate: L2/L4/L5,WC_recovery,0,L1 Hole exploration,42,93.33333333333333
structure_no_attention,Full vs NoAttention,structural_ablation,run1,1,Gate: L2/L4/L5,WC_recovery,2,L3 Hesitating,3,6.666666666666667
structure_no_attention,Full vs NoAttention,structural_ablation,run1,2,L3 Hesitating,CW_damage,0,L1 Hole exploration,3,30.0
structure_no_attention,Full vs NoAttention,structural_ablation,run1,2,L3 Hesitating,CW_damage,1,Gate: L2/L4/L5,7,70.0
structure_no_attention,Full vs NoAttention,structural_ablation,run1,2,L3 Hesitating,WC_recovery,0,L1 Hole exploration,5,35.714285714285715
structure_no_attention,Full vs NoAttention,structural_ablation,run1,2,L3 Hesitating,WC_recovery,1,Gate: L2/L4/L5,9,64.28571428571429
mask_max_L1,Maximum mask L1,input_mask,run2,0,L2 Wrong hole,CW_damage,1,L4 Changing direction,1,50.0
mask_max_L1,Maximum mask L1,input_mask,run2,0,L2 Wrong hole,CW_damage,2,L5 Walking,1,50.0
mask_max_L1,Maximum mask L1,input_mask,run2,0,L2 Wrong hole,WC_recovery,1,L4 Changing direction,1,100.0
mask_max_L1,Maximum mask L1,input_mask,run2,1,L4 Changing direction,CW_damage,0,L2 Wrong hole,3,100.0
